"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.700000329E-4,1.825316539E-1,1.483406451E-1,-3.092130429E-1,3.885041281E-1
9.414999979E-3,1.923675478E-1,2.704565281E-1,-1.745347095E-1,3.749858288E-1
1.940100000E-2,2.177466564E-1,3.528104675E-1,-2.328296953E-1,4.754981592E-1
2.938599995E-2,2.359797366E-1,3.558007336E-1,-3.379562008E-1,5.445135368E-1
3.937199997E-2,2.433751488E-1,3.977518746E-1,-4.424395126E-1,6.427991437E-1
4.935699998E-2,1.750909258E-1,5.192172548E-1,-6.766093898E-1,8.706570257E-1
5.934300000E-2,2.681386918E-3,6.578582463E-1,-1.011690515E0,1.206773533E0
6.932799995E-2,-3.519789934E-2,8.804085365E-1,-1.363487075E0,1.623408478E0
7.931299997E-2,-1.579778798E-1,9.410581961E-1,-1.667001421E0,1.920791836E0
8.929899998E-2,5.742550492E-2,7.716149497E-1,-1.787786186E0,1.948041777E0
9.928400000E-2,2.917098413E-1,6.896703154E-1,-1.670955893E0,1.831074377E0
1.092700000E-1,2.330413646E-1,5.760574535E-1,-1.498449583E0,1.622190377E0
1.192550000E-1,1.956108521E-1,6.001368722E-1,-1.293679506E0,1.439456333E0
1.292410000E-1,3.746094722E-1,4.514971420E-1,-8.488981837E-1,1.031896338E0
1.392260000E-1,5.364671257E-1,6.607251361E-1,-1.838697892E-1,8.707254342E-1
1.492110000E-1,3.861739491E-1,6.653581774E-1,-3.721150500E-1,8.545767570E-1
1.591970000E-1,5.010571186E-1,6.329321507E-1,-5.133375871E-1,9.566487453E-1
1.691820000E-1,6.281223772E-1,5.738331726E-1,-6.753861523E-1,1.086263635E0
1.791680000E-1,6.966143225E-1,3.437557617E-1,-8.039097065E-1,1.117904448E0
1.891530000E-1,7.724389686E-1,1.403121257E-1,-8.014363343E-1,1.121895561E0
1.991390000E-1,8.553149182E-1,-5.264599085E-2,-5.857600307E-1,1.038002901E0
2.091240000E-1,8.154787150E-1,-1.742669070E-1,-3.346987170E-1,8.985531262E-1
2.191090000E-1,7.788362610E-1,-1.009572946E-1,-2.527809799E-1,8.250312240E-1
2.290950000E-1,7.671852453E-1,1.313708559E-2,-2.826362783E-1,8.176974070E-1
2.390800000E-1,7.460118927E-1,6.555254996E-2,-4.059300828E-1,8.518275136E-1
2.490660000E-1,7.732156250E-1,8.003917292E-2,-6.056890959E-1,9.854582451E-1
2.590510000E-1,8.685810810E-1,-7.294474617E-2,-6.716433495E-1,1.100390303E0
2.690370000E-1,9.459701496E-1,-4.264482549E-1,-4.789325702E-1,1.142844716E0
2.790220000E-1,1.219112011E0,-9.656087543E-1,-4.538491845E-2,1.555858012E0
2.890070000E-1,1.626261093E0,-1.926987048E0,4.612272012E-1,2.563344447E0
2.989930000E-1,1.486550938E0,-2.671227965E0,8.715333402E-1,3.178814700E0
3.089780000E-1,1.479661310E-1,-1.988459119E0,2.686105621E0,3.345299247E0
3.189640000E-1,-7.472741604E-2,5.495431079E-1,3.013056777E0,3.063673115E0
3.289490000E-1,1.805684513E-1,1.017800855E0,-1.269881338E0,1.637413253E0
3.389349999E-1,-1.084569187E0,3.843753456E-1,-2.351444911E0,2.617886150E0
3.489200000E-1,-7.509901390E-1,3.999977902E-1,-3.019130865E0,3.136739645E0
3.589050000E-1,-9.458184875E-1,-8.236183316E-2,-3.800648074E0,3.917433071E0
3.688910000E-1,-1.182237715E0,-5.059953846E-1,-2.901042836E0,3.173289600E0
3.788760000E-1,-8.274564439E-1,-4.546941072E-1,-1.716909161E0,1.959389692E0
3.888620000E-1,-6.221916926E-1,-4.053421453E-1,-6.418412608E-1,9.815217578E-1
3.988470000E-1,1.133722490E-1,-3.745222025E-1,1.042722273E-1,4.049602997E-1
4.088330000E-1,-5.798044954E-1,-1.566809674E-1,-5.880661726E-1,8.405617180E-1
4.188180000E-1,-2.444865583E0,-6.273841663E-1,-1.779505359E0,3.088303407E0
4.288040000E-1,-1.081885023E0,-1.093521128E0,-2.453555422E0,2.895893277E0
4.387890000E-1,-4.042580715E-1,-1.030388302E0,-3.340223111E0,3.518837176E0
4.487739166E-1,-1.538257720E-1,-1.555882251E0,-4.086906118E0,4.375755199E0
4.587599167E-1,-8.501047567E-1,-3.410249950E0,-4.477426448E0,5.692084892E0
4.687449167E-1,2.893914496E0,-1.147730080E0,-5.000277455E0,5.890229204E0
4.787309166E-1,5.719976732E0,-6.894256825E-1,-3.528603442E0,6.756070147E0
4.887159166E-1,7.553424994E0,-1.066367244E0,-6.464050126E-1,7.655665071E0
4.987019167E-1,8.887228678E0,-5.818537618E-1,2.789058132E0,9.332750540E0
5.086869167E-1,8.847731906E0,-3.845806925E-2,5.291850033E0,1.030958368E1
5.186719166E-1,7.854426792E0,-1.036930606E-1,6.371769953E0,1.011445623E1
5.286579166E-1,7.092888349E0,-7.254074925E-2,5.448160726E0,8.944092049E0
5.386429167E-1,7.405133173E0,8.503698913E-2,3.691557156E0,8.274709834E0
5.486289167E-1,8.261750851E0,8.035247404E-2,2.969013210E0,8.779409039E0
5.586139166E-1,8.882831572E0,1.941327856E-1,3.554675592E0,9.569644865E0
5.685999166E-1,9.358906024E0,4.948558906E-1,4.835771306E0,1.054602714E1
5.785849167E-1,9.726612858E0,7.104645491E-1,6.204165949E0,1.155869511E1
5.885699167E-1,9.607037297E0,8.095763893E-1,7.504150507E0,1.221731781E1
5.985559166E-1,8.609630361E0,8.342598255E-1,9.021286038E0,1.249821292E1
6.085409166E-1,7.538016411E0,1.175914098E0,1.041005764E1,1.290634594E1
6.185269167E-1,6.737807992E0,1.479420404E0,1.155841337E1,1.346044802E1
6.285119167E-1,6.215973231E0,1.855238496E0,1.245350515E1,1.404172438E1
6.384979166E-1,6.191953454E0,2.132021273E0,1.292561402E1,1.448990338E1
6.484829166E-1,6.805753223E0,2.210309205E0,1.310771268E1,1.493371606E1
6.584679167E-1,7.454426370E0,2.158878558E0,1.314568918E1,1.526559443E1
6.684539166E-1,7.983597633E0,2.147160153E0,1.311464280E1,1.550296693E1
6.784389166E-1,8.278768002E0,1.936992365E0,1.337820605E1,1.585138278E1
6.884249166E-1,8.200576696E0,1.569898465E0,1.408597876E1,1.637464006E1
6.984099167E-1,7.310695378E0,1.042999796E0,1.474717138E1,1.649282205E1
