"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.655166693E-3,-6.565699585E-1,-1.095240502E-1,1.565942824E-2,6.658264381E-1
1.564016665E-2,-4.761457872E-1,2.341663688E-3,-5.993688405E-2,4.799090791E-1
2.562616667E-2,-3.125803082E-1,7.103870004E-2,-1.479579449E-1,3.530502789E-1
3.561116668E-2,-2.698856571E-1,7.007025495E-2,-1.727934086E-1,3.280330328E-1
4.559716670E-2,-2.560388292E-1,1.123092252E-1,-2.102606124E-1,3.498267703E-1
5.558216665E-2,-3.024510303E-1,2.007685348E-1,-2.128094137E-1,4.207998062E-1
6.556816667E-2,-3.193961516E-1,2.661203791E-1,1.524953842E-3,4.157358336E-1
7.555316668E-2,-1.983176013E-1,3.010693333E-1,3.529987478E-1,5.045599374E-1
8.553916664E-2,-8.941682775E-2,2.471223369E-1,5.935982233E-1,6.491715253E-1
9.552416665E-2,-1.874106438E-1,1.400941707E-1,6.420921063E-1,6.833969557E-1
1.055101667E-1,-1.980655863E-1,7.810915321E-2,3.791726393E-1,4.348596402E-1
1.154951667E-1,-4.232927319E-2,1.153779902E-1,-3.020086884E-3,1.229348157E-1
1.254811666E-1,-4.159201238E-2,1.316687715E-1,-2.256247562E-1,2.645242739E-1
1.354661667E-1,-2.891568739E-1,5.835579693E-2,-2.104898232E-1,3.623852404E-1
1.454521667E-1,-3.581540551E-1,5.077020407E-2,-1.138920665E-1,3.792404826E-1
1.554371667E-1,-4.035645186E-1,5.340262055E-2,-8.827015221E-2,4.165426513E-1
1.654231666E-1,-4.473778517E-1,4.065276682E-4,-9.372326553E-2,4.570898795E-1
1.754081667E-1,-4.045000000E-1,-2.572687179E-2,-6.188225269E-2,4.100140670E-1
1.853931667E-1,-4.314041721E-1,-2.737710223E-2,-3.402494788E-2,4.336089973E-1
1.953791667E-1,-3.941393917E-1,-1.343093741E-1,-2.166919649E-2,4.169585377E-1
2.053641666E-1,-1.729827305E-1,-2.638822111E-1,-1.335872430E-1,3.426403331E-1
2.153501667E-1,2.235549515E-2,-1.986926271E-1,-3.329433829E-1,3.883681558E-1
2.253351667E-1,-1.031752165E-2,-1.502427444E-1,-4.526738942E-1,4.770670686E-1
2.353211667E-1,-2.581435710E-1,-2.376330368E-1,-4.188167614E-1,5.463653018E-1
2.453061666E-1,-4.021297581E-1,-2.727882515E-1,-3.499552721E-1,5.988242354E-1
2.552921667E-1,-3.439533245E-1,-3.026764405E-1,-3.319821006E-1,5.657994629E-1
2.652771667E-1,-1.883580754E-1,-3.562350355E-1,-4.005295944E-1,5.681602953E-1
2.752631667E-1,-9.922578782E-3,-3.676219033E-1,-5.681476325E-1,6.767836092E-1
2.852481666E-1,6.126961067E-2,-4.063730094E-1,-7.624792600E-1,8.661798946E-1
2.952341667E-1,-3.968285993E-2,-4.850497811E-1,-9.082731503E-1,1.030440748E0
3.052191667E-1,-1.419840274E-1,-5.683742121E-1,-1.018675014E0,1.175120204E0
3.152051667E-1,-1.231056704E-1,-6.181866422E-1,-1.179560568E0,1.337412750E0
3.251901667E-1,-7.223975468E-2,-6.357195184E-1,-1.356148235E0,1.499498557E0
3.351761667E-1,-9.115246408E-2,-7.164955866E-1,-1.565401372E0,1.723994244E0
3.451611667E-1,-8.347704336E-3,-8.337816694E-1,-1.851210349E0,2.030330346E0
3.551471666E-1,2.267374448E-1,-9.053056884E-1,-2.254011002E0,2.439580672E0
3.651321667E-1,5.026555647E-1,-9.620928235E-1,-2.683013613E0,2.894278367E0
