"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.198791713E-3,8.964857483E-1,4.408794755E-1,-1.562911043E-1,1.011181644E0
1.218479167E-2,9.894746035E-1,4.489492178E-1,-3.725002353E-1,1.148639115E0
2.217079169E-2,1.107246882E0,4.553595203E-1,-5.831498337E-1,1.331695040E0
3.215679171E-2,1.128293935E0,4.955275530E-1,-5.496280387E-1,1.349327885E0
4.214379168E-2,1.120508952E0,6.410208964E-1,-4.433361831E-1,1.364915775E0
5.212979170E-2,1.306815861E0,7.481781399E-1,-4.851152699E-1,1.582047739E0
6.211579166E-2,1.408160387E0,8.344783652E-1,-6.120852189E-1,1.747546318E0
7.210179168E-2,1.467037171E0,1.016191117E0,-6.952199078E-1,1.915247547E0
8.208879171E-2,1.681519473E0,1.130354494E0,-4.888327834E-1,2.084266420E0
9.207479167E-2,1.972753497E0,1.261446145E0,-1.184552336E-1,2.344575523E0
1.020607917E-1,2.299514034E0,1.513172872E0,-9.824053198E-2,2.754470573E0
1.120467917E-1,2.878600638E0,1.716713279E0,-2.579614668E-1,3.361545810E0
1.220337917E-1,3.622592171E0,2.057987190E0,-1.171159288E-1,4.167997296E0
1.320197917E-1,3.722742112E0,2.224818778E0,1.132254839E-2,4.336906227E0
1.420057917E-1,3.526057565E0,2.139552341E0,-8.608855605E-2,4.125309371E0
1.519917917E-1,3.278499610E0,1.861934143E0,-6.263888240E-1,3.822004893E0
1.619787917E-1,3.115554959E0,1.525183053E0,-1.575990679E0,3.810067279E0
1.719647917E-1,3.458339206E0,8.219197154E-1,-2.184857737E0,4.172441181E0
1.819507917E-1,2.622784368E0,7.791157579E-1,-2.072878733E0,3.432614958E0
1.919367917E-1,2.355286824E0,5.538032430E-1,-6.245446122E-1,2.498825730E0
2.019237917E-1,4.148042558E0,-5.283128911E-1,1.591424113E0,4.474148219E0
2.119097917E-1,4.083731957E0,-1.064915965E0,2.171788917E0,4.746322767E0
2.218957917E-1,2.284464178E0,-7.856722409E-1,1.808951937E0,3.018006720E0
2.318817917E-1,1.453691486E0,-5.958494014E-1,1.500678688E0,2.172623292E0
2.418687917E-1,1.480754154E0,-8.463505518E-1,1.325383840E0,2.159996400E0
2.518547917E-1,1.118713418E0,-1.238217496E0,1.839463878E0,2.483612216E0
2.618407917E-1,5.499089243E-1,-1.486562194E0,2.318735586E0,2.808701070E0
2.718277917E-1,1.865324103E-1,-1.681247578E0,2.772366085E0,3.247676318E0
2.818137917E-1,1.265027199E-1,-1.698691576E0,3.109254584E0,3.545281382E0
2.917997917E-1,-4.609737610E-1,-1.700658579E0,2.564332677E0,3.111356375E0
3.017857917E-1,-5.521538531E-1,-1.551638196E0,2.016197140E0,2.603364338E0
3.117727917E-1,-3.927990637E-1,-1.728574356E0,2.488796591E0,3.055547231E0
3.217587917E-1,-8.519070147E-1,-2.269944665E0,3.087546211E0,3.925727442E0
3.317447917E-1,-1.345940166E0,-2.469289110E0,3.138867223E0,4.214431288E0
3.417307917E-1,-2.033807200E0,-3.107547197E0,3.005422068E0,4.777633631E0
3.517177917E-1,-3.106924177E0,-3.729555872E0,2.785024137E0,5.596331324E0
3.617037917E-1,-3.243430642E0,-4.128303235E0,2.953205262E0,6.023632729E0
3.716897917E-1,-3.162254039E0,-4.922290217E0,3.812422028E0,6.983076206E0
3.816762500E-1,-3.082339266E0,-5.963171786E0,4.823211486E0,8.265809225E0
3.916632500E-1,-2.345962854E0,-6.701771017E0,5.602381039E0,9.044553598E0
4.016492500E-1,-2.344543296E0,-7.100462247E0,5.034214110E0,9.014253108E0
4.116352500E-1,-2.657210728E0,-7.349146083E0,3.558236547E0,8.586720231E0
4.216212500E-1,-2.903608010E0,-7.227456754E0,1.797104309E0,7.993538297E0
4.316082500E-1,-2.661047378E0,-6.543137226E0,-5.846033784E-1,7.087706189E0
4.415942500E-1,-2.634417989E0,-6.822311953E0,-1.317942528E0,7.431088145E0
4.515802500E-1,-3.357479998E0,-7.737843252E0,-1.173480048E0,8.516099198E0
4.615672500E-1,-4.205378016E0,-9.216853182E0,-1.516516456E0,1.024379856E1
4.715532500E-1,-4.439812187E0,-1.108457490E1,-3.619895728E-1,1.194616128E1
4.815392500E-1,-2.643926438E0,-1.161878471E1,1.341387377E0,1.199107273E1
4.915252500E-1,5.754584062E-1,-1.015849405E1,9.054425132E-1,1.021498801E1
5.015122500E-1,3.069000013E0,-7.700235715E0,-2.176150063E0,8.570182043E0
5.114982500E-1,5.248892879E0,-3.896610239E0,-6.547246649E0,9.252074713E0
5.214842500E-1,6.833929201E0,-1.390191894E0,-1.060849811E1,1.269548951E1
5.314702500E-1,6.321978573E0,-8.774279183E-1,-1.229728041E1,1.385497738E1
5.414572500E-1,4.644928127E0,-1.396775274E0,-1.175422961E1,1.271566955E1
5.514432500E-1,3.661904756E0,-3.535470997E0,-9.280837508E0,1.058503880E1
5.614292500E-1,2.430287012E0,-6.369345698E0,-5.797260550E0,8.948915547E0
5.714152500E-1,6.082349735E-1,-8.593661031E0,-3.041071372E0,9.136141132E0
5.814022500E-1,3.065882277E-1,-9.575821352E0,-1.214439794E0,9.657391724E0
5.913882500E-1,1.168557277E0,-9.877416058E0,-9.072341001E-1,9.987589689E0
6.013742500E-1,2.441156986E0,-9.182343500E0,-1.056334591E0,9.559839033E0
6.113602500E-1,3.568577932E0,-7.617187711E0,-1.933844955E0,8.631109627E0
6.213472500E-1,4.984748420E0,-5.295644876E0,-3.406820558E0,8.031064549E0
6.313332500E-1,6.352543139E0,-3.309407992E0,-5.408321307E0,8.975350965E0
6.413192500E-1,7.109225469E0,-1.634089491E0,-7.883856997E0,1.074088155E1
6.513052500E-1,7.275626702E0,-8.666897260E-1,-9.426913819E0,1.193953932E1
6.612922500E-1,7.273007149E0,-1.630566251E0,-8.858908274E0,1.157737600E1
6.712782500E-1,6.728854151E0,-3.460778080E0,-7.061543180E0,1.034987223E1
6.812642500E-1,6.054608206E0,-4.823504139E0,-5.546506215E0,9.523035435E0
6.912512500E-1,6.105409400E0,-6.287196996E0,-4.768723330E0,9.977253740E0
7.012372500E-1,6.811218030E0,-6.064107592E0,-5.285835003E0,1.054068990E1
7.112232500E-1,8.379085758E0,-4.821160283E0,-6.555349721E0,1.168012305E1
7.212092500E-1,1.008443088E1,-3.123541671E0,-8.376069764E0,1.347630526E1
7.311962500E-1,1.282345614E1,-1.344560076E0,-9.808131815E0,1.620025675E1
7.411822500E-1,1.478356445E1,-1.985907394E-1,-9.417347190E0,1.752939372E1
7.511682500E-1,1.544608673E1,1.160970515E-1,-8.564462959E0,1.766196760E1
7.611542500E-1,1.591490011E1,-1.405165297E0,-7.305785471E0,1.756795481E1
7.711412500E-1,1.504799542E1,-4.033103548E0,-5.497372647E0,1.652056889E1
7.811272500E-1,1.301099155E1,-6.851848578E0,-4.330243844E0,1.532921204E1
7.911132500E-1,1.103507822E1,-7.886867144E0,-3.345656928E0,1.397029151E1
8.010992500E-1,1.315538269E1,-8.415129164E0,-3.464905629E0,1.599637658E1
8.110862500E-1,1.507687833E1,-7.818766378E0,-2.853246526E0,1.722168353E1
8.210722500E-1,1.680192155E1,-4.290472253E0,-1.355250102E0,1.739394788E1
8.310582500E-1,1.838474880E1,-3.694300962E0,1.416219605E0,1.880565143E1
8.410452500E-1,1.744460774E1,-5.619023384E0,6.654257712E0,1.949786933E1
8.510312500E-1,1.272064104E1,-8.001900587E0,1.247949485E1,1.953414736E1
8.610172500E-1,6.913564185E0,-8.836957827E0,1.837511258E1,2.152983873E1
8.710032500E-1,1.234343277E0,-8.547248756E0,2.255023623E1,2.414730251E1
8.809902500E-1,-1.234357018E0,-7.701301078E0,2.171572161E1,2.307392989E1
8.909762500E-1,-1.048868574E0,-5.841257340E0,1.640918396E1,1.744940488E1
9.009622500E-1,-6.493900162E-1,-3.053493489E0,9.381373365E0,9.887148026E0
9.109482500E-1,7.055269410E-1,-4.850695154E-1,4.281327792E0,4.366099903E0
9.209352500E-1,2.532967628E0,1.761434539E0,1.872595371E0,3.609042818E0
9.309212500E-1,3.457657713E0,2.975956779E0,1.578873941E0,4.827479521E0
9.409072500E-1,2.795122279E0,2.294780713E0,2.495788692E0,4.394051464E0
9.508932500E-1,1.102972568E0,3.581764573E-1,3.134201145E0,3.341864102E0
9.608802500E-1,-5.663613081E-1,-1.494458274E0,3.425267939E0,3.779766013E0
9.708662500E-1,-1.710593291E0,-2.334326017E0,3.810336910E0,4.784754407E0
9.808522500E-1,-1.911008800E0,-2.138696308E0,4.063923052E0,4.974077513E0
9.908382500E-1,-1.209974129E0,-1.784840358E0,3.170764369E0,3.834506381E0
1.000825250E0,-5.952658492E-1,-1.205161432E0,1.411037217E0,1.948789762E0
1.010811250E0,-2.360442021E-1,-6.792523313E-1,-6.113281506E-1,9.438340440E-1
1.020797250E0,1.304842718E-1,-3.892280960E-1,-2.191157527E0,2.229281491E0
1.030784250E0,3.122088638E-1,-2.060538331E-1,-2.713430829E0,2.739094635E0
1.040770250E0,3.140071750E-1,-8.368067265E-2,-2.070573322E0,2.095919093E0
1.050756250E0,2.005375698E-1,-3.307293347E-1,-9.974870431E-1,1.069849340E0
1.060742250E0,-8.016620368E-2,-6.571574575E-1,-3.748790288E-1,7.608001251E-1
1.070729250E0,-3.362046674E-1,-7.351242310E-1,-2.915187836E-1,8.593162483E-1
1.080715250E0,-4.773386192E-1,-7.141227865E-1,-6.353233695E-1,1.068390984E0
1.090701250E0,-3.083473626E-1,-2.897880077E-1,-1.047551488E0,1.129787284E0
1.100687250E0,4.093469033E-1,4.554916674E-1,-1.570484356E0,1.685662677E0
1.110674250E0,1.194408987E0,1.072013315E0,-2.284136442E0,2.791613272E0
1.120660250E0,1.426310729E0,1.299367678E0,-2.908072359E0,3.489928868E0
1.130646250E0,1.194115165E0,1.176844536E0,-3.538811511E0,3.915872955E0
1.140632250E0,1.190639872E0,9.648280048E-1,-4.038513392E0,4.319503073E0
1.150619250E0,1.265596206E0,7.988460177E-1,-3.973505217E0,4.246013711E0
1.160605250E0,1.235954916E0,8.205093670E-1,-3.641909618E0,3.932470704E0
1.170591250E0,1.426604260E0,9.979010260E-1,-3.419845816E0,3.837492876E0
1.180578250E0,1.999024160E0,1.340064299E0,-3.373856295E0,4.144246158E0
1.190564250E0,2.803612436E0,1.938702822E0,-3.501241981E0,4.886461576E0
1.200550250E0,4.017156729E0,2.763854293E0,-3.777013628E0,6.167841656E0
1.210536250E0,5.588452971E0,3.725220746E0,-4.354310399E0,8.004254823E0
1.220523250E0,6.543964022E0,4.061186555E0,-5.081342084E0,9.226957176E0
1.230509250E0,6.766539456E0,3.823246393E0,-5.497493684E0,9.519753463E0
1.240495250E0,6.972532185E0,2.789120112E0,-5.785058581E0,9.479572715E0
1.250481250E0,7.165885574E0,1.584783137E0,-5.563698784E0,9.209570989E0
1.260468250E0,7.809210273E0,1.145174262E0,-5.294991742E0,9.504321477E0
1.270454250E0,8.815176948E0,1.000853285E0,-5.612770371E0,1.049820190E1
1.280440250E0,1.000833989E1,9.075059956E-1,-6.277098269E0,1.184872977E1
1.290426250E0,1.083148519E1,4.626270247E-1,-6.079757080E0,1.242974421E1
1.300413250E0,1.095905272E1,-1.246244554E0,-4.939137214E0,1.208507503E1
1.310399250E0,8.780856716E0,-3.901337128E0,-3.725701972E0,1.030556797E1
1.320385250E0,5.523743005E0,-6.375570644E0,-2.959150711E0,8.939586721E0
1.330371250E0,1.852940540E0,-8.145092466E0,-2.415695286E0,8.695487545E0
1.340358250E0,-1.701530107E0,-8.405769526E0,-2.405469675E0,8.907213391E0
1.350344250E0,-4.262410003E0,-8.330414704E0,-3.079578211E0,9.851281649E0
1.360330250E0,-5.192577760E0,-8.302510622E0,-2.301972642E0,1.005950419E1
1.370317250E0,-4.711112176E0,-7.715239670E0,1.490285701E-1,9.041112245E0
1.380303125E0,-4.098221357E0,-7.086389169E0,2.238528745E0,8.486656626E0
1.390289125E0,-4.549565887E0,-7.233772917E0,2.722441388E0,8.968707124E0
1.400275125E0,-5.182200707E0,-7.466721895E0,2.930086541E0,9.549478895E0
1.410262125E0,-4.761074295E0,-7.484915507E0,3.711502594E0,9.615978374E0
1.420248125E0,-3.482579423E0,-7.113001601E0,4.132585736E0,8.933163834E0
1.430234125E0,-2.462508094E0,-7.189680818E0,4.322627554E0,8.743029529E0
1.440220125E0,-2.339350530E0,-7.677121671E0,5.253820912E0,9.592361140E0
1.450207125E0,-2.354442194E0,-8.240433657E0,6.441272882E0,1.072092073E1
1.460193125E0,-5.795830321E-1,-8.424249067E0,7.225355265E0,1.111348944E1
1.470179125E0,1.843465127E0,-8.127882941E0,7.324460893E0,1.109543024E1
1.480166125E0,3.006016729E0,-7.909378924E0,6.535704830E0,1.069157842E1
1.490152125E0,1.692251453E0,-8.277547688E0,4.461505065E0,9.554398891E0
1.500138125E0,-7.610867456E-1,-8.833306825E0,1.419732027E0,8.978986665E0
1.510124125E0,-2.097827487E0,-9.411214045E0,-9.028276384E-1,9.684365117E0
1.520111125E0,-1.755776481E0,-1.032495025E1,-1.353593001E0,1.056028232E1
1.530097125E0,-1.129434581E0,-1.155371338E1,-1.526064082E-1,1.160978915E1
1.540083125E0,-1.142642271E0,-1.319287621E1,1.499401510E0,1.332688332E1
1.550069125E0,-2.390744851E-1,-1.465736283E1,2.887415900E0,1.494097093E1
1.560056125E0,1.431066562E0,-1.446606181E1,4.110223060E0,1.510658232E1
1.570042125E0,1.991717480E0,-1.373413425E1,4.365424787E0,1.454820662E1
1.580028125E0,3.028893084E0,-1.234739455E1,3.283050206E0,1.313052795E1
1.590014125E0,4.765943564E0,-9.250995074E0,-1.182796709E-1,1.040716666E1
1.600001125E0,4.922107784E0,-7.377668216E0,-7.080220356E0,1.134842075E1
1.609987125E0,4.794082412E0,-6.151624038E0,-1.196541701E1,1.428274864E1
1.619973125E0,5.887663767E0,-6.805303572E0,-1.194901089E1,1.495846257E1
1.629960125E0,5.732800845E0,-8.577280056E0,-6.715040689E0,1.230961048E1
1.639946125E0,5.584525981E0,-9.909796768E0,-9.717154402E-1,1.141644574E1
1.649932125E0,6.806625627E0,-1.082486380E1,2.306228392E0,1.299332591E1
1.659918125E0,8.816498419E0,-1.037612742E1,1.551308413E0,1.370405861E1
1.669905125E0,1.142790586E1,-6.276284337E0,-2.883964874E0,1.335312813E1
1.679891125E0,1.216562099E1,-1.103588864E0,-8.580348090E0,1.492791398E1
1.689877125E0,1.294253937E1,2.438209697E0,-1.332765687E1,1.873714571E1
1.699863125E0,1.398084933E1,2.444407161E0,-1.478524143E1,2.049494178E1
1.709850125E0,1.199204523E1,5.017001662E-1,-1.077937948E1,1.613244785E1
1.719836125E0,9.988163491E0,-1.361203445E0,-5.090732712E0,1.129299979E1
1.729822125E0,9.212376553E0,-4.385500617E0,-2.712969484E0,1.055749501E1
1.739809125E0,7.416627045E0,-7.508222508E0,-2.375957608E0,1.081780646E1
1.749795125E0,5.114544913E0,-8.908956347E0,-2.578223907E0,1.059128469E1
1.759781125E0,4.559031944E0,-8.512409291E0,-4.200252639E0,1.053033743E1
1.769767125E0,6.783193495E0,-6.839916165E0,-6.669514267E0,1.171659454E1
1.779754125E0,9.980636955E0,-3.729617853E0,-9.724834135E0,1.442551775E1
1.789740125E0,1.317807340E1,-1.422781935E0,-1.335726951E1,1.881761344E1
1.799726125E0,1.612784868E1,-1.155135798E0,-1.486447354E1,2.196347913E1
1.809712125E0,1.773610430E1,-1.900075384E0,-1.357057594E1,2.241294745E1
1.819699125E0,1.885261493E1,-3.647784023E0,-9.447577295E0,2.140056388E1
1.829685125E0,1.835089225E1,-5.445679168E0,-4.536600856E0,1.967209738E1
1.839671125E0,1.628914998E1,-6.946629020E0,-1.231255801E0,1.775128312E1
1.849657125E0,1.382366214E1,-7.523585483E0,8.936013168E-1,1.576377166E1
1.859644125E0,1.280129286E1,-5.954675782E0,4.505501854E-1,1.412565956E1
1.869630125E0,1.431183916E1,-4.963596702E0,-2.624875917E0,1.537387413E1
1.879616125E0,1.667141989E1,-3.838492131E0,-3.915588546E0,1.754998850E1
1.889603125E0,1.931579159E1,-4.164236130E0,-1.420012693E0,1.981053011E1
1.899589125E0,1.928040658E1,-7.195350278E0,4.150933129E0,2.099374643E1
1.909575125E0,1.432828738E1,-9.021411753E0,1.036006629E1,1.984985296E1
1.919561125E0,8.676941169E0,-7.867198280E0,1.522167527E1,1.920628842E1
1.929548125E0,4.896033295E0,-6.894196452E0,1.686179587E1,1.886322472E1
1.939534125E0,2.465898310E0,-6.117183353E0,1.518980093E1,1.655991059E1
1.949520125E0,1.201253884E0,-4.634285610E0,1.230733411E1,1.320568389E1
1.959506125E0,1.383740514E0,-2.714964554E0,1.060216090E1,1.103139094E1
1.969493125E0,2.380949230E0,-6.405829400E-1,9.772238681E0,1.007848771E1
1.979479125E0,3.586646413E0,1.196507553E0,8.117578393E0,8.954928352E0
1.989465125E0,4.024246770E0,2.066544591E0,6.253644503E0,7.718370176E0
1.999452125E0,3.143458165E0,1.653976164E0,5.142121552E0,6.249670426E0
2.009438125E0,1.366000793E0,2.214480901E-1,4.081101587E0,4.309337256E0
2.019424125E0,-2.969909003E-1,-1.408059815E0,3.144567674E0,3.458199227E0
