"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.192208311E-3,2.959907341E-1,3.191474622E-1,-4.429743867E-1,6.210410007E-1
7.793791650E-3,4.982003152E-1,4.245663285E-1,-4.006018075E-1,7.674255206E-1
1.778079168E-2,7.087673217E-1,5.203460598E-1,-2.158287697E-1,9.053690938E-1
2.776679164E-2,8.259548789E-1,6.076958603E-1,-2.592772365E-2,1.025752391E0
3.775279166E-2,8.903578663E-1,6.209058899E-1,1.270366073E-1,1.092885883E0
4.773879168E-2,8.515820557E-1,6.077736282E-1,9.527233914E-2,1.050551093E0
5.772479164E-2,8.469341040E-1,5.890496743E-1,-6.718933180E-2,1.033823632E0
6.771079166E-2,9.241945338E-1,6.365185404E-1,-2.010506630E-1,1.140049454E0
7.769679168E-2,1.026184593E0,7.739725471E-1,-1.906683469E-1,1.299400916E0
8.768279164E-2,1.177602335E0,8.962758332E-1,-5.031412125E-2,1.480739390E0
9.766979166E-2,1.227421197E0,9.530259848E-1,2.645982027E-2,1.554194790E0
1.076557917E-1,1.157480897E0,9.512531090E-1,6.866750792E-2,1.499786562E0
1.176417916E-1,1.153508883E0,9.947382671E-1,3.227779984E-2,1.523525129E0
1.276277917E-1,1.383044257E0,1.167786614E0,-1.455968392E-1,1.815966804E0
1.376137917E-1,1.705264431E0,1.324761550E0,-2.690385783E-1,2.176074838E0
1.475997916E-1,2.192185467E0,1.615288646E0,-3.107621165E-1,2.740694734E0
1.575857917E-1,2.765047710E0,1.803573668E0,-2.719212556E-1,3.312447431E0
1.675717917E-1,3.105660301E0,1.961249101E0,-3.078339770E-2,3.673223592E0
1.775587916E-1,3.420093153E0,2.335008972E0,4.340338477E-1,4.163855120E0
1.875447917E-1,3.940339226E0,2.650252249E0,8.870806481E-1,4.830840742E0
1.975307917E-1,4.644385505E0,2.899025547E0,1.206111458E0,5.606190390E0
2.075167916E-1,5.043149241E0,3.072670310E0,1.362987138E0,6.060725290E0
2.175027917E-1,5.045626706E0,3.055626261E0,1.367558491E0,6.055197514E0
