"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.000416687E-3,4.894400167E-1,-3.016756164E-1,-8.979282564E-1,1.066224583E0
7.985583332E-3,4.381248522E-1,-4.571406918E-1,-6.805901742E-1,9.295880719E-1
1.797158335E-2,5.636581403E-1,-6.401198405E-1,-7.396678099E-1,1.128969609E0
2.795758331E-2,8.355758876E-1,-6.187796961E-1,-7.008835208E-1,1.253919091E0
3.794258332E-2,1.020549631E0,-5.161161840E-1,-5.545932019E-1,1.271011835E0
4.792858334E-2,1.185755108E0,-3.732422835E-1,-3.926311755E-1,1.303642673E0
5.791458330E-2,1.291524222E0,-1.757382492E-1,-2.183286005E-1,1.321584703E0
6.790058332E-2,1.385466759E0,-1.507373092E-1,1.503114492E-1,1.401725154E0
7.788658334E-2,9.166223896E-1,-2.787027832E-1,4.103751361E-1,1.042247379E0
8.787258330E-2,6.039787853E-1,-4.143813559E-1,1.134968532E0,1.350798227E0
9.785858332E-2,8.613621086E-1,-5.826429532E-1,1.775626316E0,2.057733294E0
1.078445833E-1,1.807974867E0,-7.487425424E-1,2.255624541E0,2.986173235E0
1.178305833E-1,1.355109769E0,-6.669653577E-1,1.252942247E0,1.962404023E0
1.278165833E-1,1.030422070E0,-5.660576914E-1,6.699634445E-1,1.353159994E0
1.378025833E-1,5.747707736E-1,-5.030039491E-1,2.334208488E-2,7.641461038E-1
1.477885833E-1,1.405121005E-1,-4.110186222E-1,-4.778753936E-1,6.457900975E-1
1.577745833E-1,-2.145290798E-1,-3.010177316E-1,-8.154760838E-1,8.953410769E-1
1.677605833E-1,-4.114141864E-1,-2.182610286E-1,-1.066250299E0,1.163524478E0
1.777465833E-1,-3.134633839E-1,-1.306901303E-1,-1.223864336E0,1.270111458E0
1.877325833E-1,-1.672952718E-1,3.158249281E-2,-1.211609157E0,1.223512121E0
1.977185833E-1,-1.128921926E-1,1.569079490E-1,-1.038212900E0,1.056054344E0
2.077045833E-1,-1.943263650E-2,5.227893189E-2,-7.458673203E-1,7.479497133E-1
2.176905833E-1,2.976057351E-2,6.467119183E-2,-3.439384872E-1,3.512288965E-1
2.276765833E-1,-3.035523534E-2,1.335266877E-1,2.629030949E-1,2.964268104E-1
