"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.711416666E-3,5.348208421E-1,3.869073361E-1,9.457637429E-1,1.153342827E0
1.469741663E-2,4.627675040E-1,3.106152052E-1,5.490652442E-1,7.823734472E-1
2.468341665E-2,1.761405011E-1,2.568424559E-1,-2.181438285E-1,3.802371012E-1
3.467041667E-2,-5.918171614E-2,3.192854565E-1,-7.539528501E-1,8.209083862E-1
4.465641663E-2,-7.726481527E-2,4.644893628E-1,-8.276919405E-1,9.522574065E-1
5.464241665E-2,5.076625720E-2,6.159217232E-1,-5.919165641E-1,8.557464583E-1
6.462841667E-2,1.771507537E-1,6.963302940E-1,-2.152804470E-1,7.500692893E-1
7.461541664E-2,2.960968611E-1,7.405779290E-1,1.003038682E-1,8.038593696E-1
8.460141666E-2,4.728830409E-1,8.011322790E-1,3.520766419E-1,9.946804817E-1
9.458741668E-2,5.623081644E-1,8.781997508E-1,5.359329826E-1,1.172454449E0
1.045734166E-1,5.201791218E-1,1.027445253E0,4.534328628E-1,1.237671777E0
1.145604167E-1,4.941423476E-1,1.143440562E0,2.928314835E-1,1.279602773E0
1.245464166E-1,5.639743285E-1,1.261240908E0,2.450147080E-1,1.403149272E0
1.345324166E-1,6.895922551E-1,1.448780410E0,3.369494565E-1,1.639523434E0
1.445184167E-1,7.369725358E-1,1.609853659E0,2.593414097E-1,1.789417584E0
1.545044166E-1,8.708382525E-1,1.775003588E0,-3.208601117E-2,1.977378697E0
1.644914167E-1,1.176941307E0,2.032561158E0,1.669928245E-1,2.354651207E0
1.744774167E-1,1.674622390E0,2.326736332E0,1.133938399E0,3.082836096E0
1.844634166E-1,2.196881366E0,2.515454632E0,1.758142118E0,3.774236804E0
1.944494167E-1,2.131840740E0,2.551938334E0,1.669050286E0,3.720599825E0
2.044364167E-1,2.004391612E0,2.425936099E0,1.311239864E0,3.409120366E0
2.144224166E-1,2.094741326E0,2.001268029E0,6.768105340E-1,2.975077721E0
2.244084167E-1,1.349435777E0,1.875212000E0,7.922228765E-1,2.442337824E0
2.343944167E-1,9.893154131E-1,1.954699050E0,8.580777276E-1,2.352847370E0
2.443804166E-1,1.459722158E0,1.730930200E0,8.610415350E-1,2.422457566E0
2.543674167E-1,2.186254344E0,1.661048371E0,1.320683556E0,3.046800749E0
2.643534166E-1,2.723105047E0,1.374425461E0,2.005898439E0,3.650749922E0
2.743394166E-1,1.710135600E0,6.709025073E-1,1.969935724E0,2.693570252E0
2.843254167E-1,6.530392635E-1,1.510914677E-1,2.523374101E0,2.610882181E0
2.943124166E-1,3.392727745E-1,-3.335047156E-1,2.168422968E0,2.219997653E0
3.042984167E-1,-6.802738398E-2,-4.492830938E-1,1.533746300E0,1.599643941E0
3.142844167E-1,1.169907984E-1,-2.595812917E-1,1.501024112E0,1.527790129E0
3.242704166E-1,3.492103368E-1,-3.945391220E-1,2.326010107E0,2.384938573E0
3.342564167E-1,1.355552696E-1,-1.202234901E0,3.111228020E0,3.338185701E0
3.442434167E-1,-2.687690216E-1,-2.073694566E0,3.371435548E0,3.967243828E0
3.542294166E-1,-1.086265172E0,-2.316187955E0,3.257789065E0,4.142208138E0
3.642154167E-1,-1.603400087E0,-2.670639151E0,3.080238361E0,4.380761769E0
3.742014167E-1,-1.629020832E0,-3.324093567E0,2.945731644E0,4.730818304E0
3.841884166E-1,-1.841902459E0,-3.613452973E0,3.042133226E0,5.069933099E0
3.941744167E-1,-1.931452859E0,-3.849477003E0,3.204288796E0,5.368095568E0
4.041604166E-1,-2.271606151E0,-4.540212681E0,3.582353972E0,6.213451993E0
4.141464166E-1,-2.654312263E0,-4.827626719E0,3.258800633E0,6.400869854E0
4.241324167E-1,-2.710813031E0,-5.111133648E0,2.693809327E0,6.381912185E0
4.341194166E-1,-2.629520361E0,-5.806057686E0,2.991230291E0,7.040748670E0
4.441054167E-1,-2.883957857E0,-6.617885692E0,3.929277463E0,8.219053798E0
4.540914167E-1,-2.620040270E0,-7.918266692E0,4.609361268E0,9.529416022E0
4.640774166E-1,-2.761083005E0,-8.774254040E0,4.367328056E0,1.018256685E1
4.740644167E-1,-3.103933910E0,-8.914567335E0,2.785628740E0,9.841932939E0
4.840504167E-1,-2.867186288E0,-9.658609155E0,2.355189468E0,1.034680653E1
4.940364166E-1,-2.738130637E0,-9.632189680E0,2.114543799E0,1.023463399E1
5.040224167E-1,-3.324877093E0,-8.827262558E0,2.467280153E-1,9.435902006E0
5.140084167E-1,-2.946776834E0,-9.004892199E0,-8.113364013E-1,9.509460762E0
5.239954166E-1,-2.380855675E0,-9.383238627E0,-6.884159414E-1,9.705027428E0
5.339814167E-1,-3.025554323E0,-1.060601889E1,-5.228428209E-1,1.104151168E1
5.439674166E-1,-3.252385945E0,-1.114127535E1,-1.140250175E0,1.166216966E1
5.539534166E-1,-2.019456378E0,-1.175112825E1,-2.084420114E0,1.210421523E1
5.639404167E-1,-4.555945784E-1,-1.162920678E1,-3.228219695E0,1.207755850E1
5.739264166E-1,2.074693270E0,-9.015810705E0,-5.513550138E0,1.076979248E1
5.839124167E-1,3.348834890E0,-6.627916591E0,-7.700788862E0,1.069794946E1
5.938984167E-1,3.307305626E0,-5.539136969E0,-9.057913581E0,1.112052640E1
6.038844166E-1,3.335229004E0,-5.386890677E0,-9.570888641E0,1.147798994E1
6.138714167E-1,3.740711775E0,-6.356758981E0,-9.073137392E0,1.169286669E1
6.238574167E-1,4.030610295E0,-7.477372014E0,-8.328133121E0,1.189599566E1
6.338434166E-1,4.059755741E0,-8.138075808E0,-7.787957983E0,1.197339484E1
6.438294167E-1,4.799764736E0,-8.487472086E0,-7.527655145E0,1.231830004E1
6.538164166E-1,6.056043697E0,-7.923005276E0,-7.323383836E0,1.237261608E1
6.638024166E-1,6.869406597E0,-7.240749815E0,-7.719653149E0,1.261785440E1
6.737884167E-1,7.331589818E0,-6.043767468E0,-8.759056542E0,1.292286369E1
6.837744166E-1,7.863874138E0,-4.500000794E0,-1.028610369E1,1.370745975E1
6.937614167E-1,8.687187830E0,-3.632490338E0,-1.143472839E1,1.481267133E1
7.037474167E-1,9.217048479E0,-3.487433197E0,-1.255659624E1,1.596196360E1
