"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.763541706E-3,3.628071597E-1,4.740261716E-1,3.046013439E-1,6.701580598E-1
1.274954167E-2,4.771870667E-1,4.577638954E-1,2.818194222E-1,7.188028014E-1
2.273554169E-2,5.065747706E-1,5.180738318E-1,3.359576225E-2,7.253600269E-1
3.272154171E-2,4.392648765E-1,5.772014612E-1,-2.125632459E-1,7.558427694E-1
4.270754167E-2,3.797903976E-1,6.887096179E-1,-4.286699045E-1,8.957229319E-1
5.269354169E-2,4.581663300E-1,7.942863590E-1,-7.042690587E-1,1.156201588E0
6.267954170E-2,4.884843990E-1,7.958335322E-1,-7.863464248E-1,1.220782011E0
7.266554167E-2,2.970417346E-1,1.507961249E0,-2.879408723E-1,1.563678633E0
8.265154168E-2,5.980457252E-1,1.206604525E0,2.997458160E-2,1.347015829E0
9.263754170E-2,8.742474715E-1,1.535324464E0,7.270597512E-1,1.910535457E0
1.026235417E-1,1.001079572E0,1.803504671E0,8.860870600E-1,2.244980999E0
1.126095417E-1,1.232038743E0,2.050871714E0,6.151130533E-1,2.470295189E0
1.225955417E-1,1.069549225E0,2.153810191E0,5.375497377E-1,2.464100973E0
1.325815417E-1,1.051347647E0,2.247833419E0,6.413787460E-1,2.563094546E0
1.425675417E-1,1.452450561E0,2.523910291E0,7.694041175E-1,3.011929362E0
1.525535417E-1,1.601215714E0,2.879111100E0,6.736173695E-1,3.362578304E0
1.625395417E-1,1.237374182E0,3.103426664E0,1.073392088E0,3.509205395E0
1.725255417E-1,1.015739273E0,3.149412092E0,1.847683309E0,3.790047019E0
1.825115417E-1,1.775438328E0,3.144081770E0,2.376550516E0,4.322663969E0
1.924975417E-1,2.596670411E0,2.990252051E0,2.938679025E0,4.931545292E0
2.024835417E-1,2.745929654E0,2.479500688E0,3.436806834E0,5.049722224E0
2.124695417E-1,2.586119987E0,1.757731497E0,3.575169498E0,4.749681415E0
2.224555417E-1,2.890485688E0,1.189548197E0,3.474308537E0,4.673409059E0
2.324415417E-1,3.477476266E0,7.635902309E-1,3.040994189E0,4.682259804E0
2.424275417E-1,3.457735773E0,6.453928596E-1,2.255911932E0,4.178708804E0
2.524135417E-1,2.314792078E0,1.209287812E0,1.889317238E-1,2.618460344E0
2.623995417E-1,-5.421100397E0,2.241602626E0,-4.168225100E0,7.196333256E0
2.723855417E-1,-5.573526199E0,2.910653320E0,-1.500511311E0,6.464335328E0
2.823715417E-1,1.162381302E0,2.130054708E0,3.719074738E0,4.440695920E0
2.923575417E-1,1.243577054E0,2.107024280E0,2.894327894E0,3.789877196E0
3.023435417E-1,1.573471114E0,2.622031247E0,2.841551510E0,4.174359135E0
3.123295417E-1,2.147885938E0,2.612109107E0,3.240299458E0,4.683595688E0
3.223150417E-1,2.303576095E0,2.521091348E0,3.160245813E0,4.652904255E0
