"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.952541669E-3,1.047645628E-1,1.267287514E-1,6.830343103E-1,7.025465530E-1
1.493854169E-2,7.230345279E-2,-7.576880515E-2,3.716291463E-1,3.861048090E-1
2.492454165E-2,3.406853887E-1,-1.712824881E-2,1.344450295E-2,3.413805291E-1
3.491054167E-2,5.395930472E-1,2.962257922E-1,-8.581432164E-2,6.215098345E-1
4.489654169E-2,6.526685500E-1,5.251536405E-1,3.110408825E-1,8.935933152E-1
5.488254165E-2,6.285771444E-1,6.740804690E-1,1.044057777E0,1.392677402E0
6.486854167E-2,5.363209453E-1,1.013413104E0,2.048710583E0,2.347735362E0
7.485454169E-2,3.051202843E-1,1.548166704E0,3.432906741E0,3.778196293E0
8.484054165E-2,-6.711317182E-2,1.946291923E0,4.754245917E0,5.137646413E0
9.482654167E-2,-6.614276791E-1,2.237693762E0,6.184114092E0,6.609691903E0
1.048125417E-1,-1.298038021E0,2.532392846E0,7.406373952E0,7.934248001E0
1.147985416E-1,-1.693201625E0,2.421836032E0,7.446472403E0,8.011377706E0
1.247845417E-1,-1.853025325E0,1.971326777E0,6.373887815E0,6.924325093E0
1.347705417E-1,-2.179295865E0,1.421189153E0,5.168889520E0,5.786754526E0
1.447565416E-1,-2.465220033E0,1.228775412E0,4.519694801E0,5.292904677E0
1.547425417E-1,-2.755334900E0,1.507088259E0,4.338104841E0,5.355589514E0
1.647285417E-1,-2.699774657E0,1.723045814E0,4.543947005E0,5.559237759E0
1.747145416E-1,-1.912925372E0,1.779398940E0,4.731087434E0,5.404510373E0
1.847005417E-1,-8.138219064E-1,1.617832770E0,4.714262656E0,5.050144687E0
1.946865417E-1,3.347238600E-1,1.242136885E0,4.273595434E0,4.463021627E0
2.046725416E-1,8.009995472E-1,7.498226693E-1,3.560444748E0,3.725667874E0
2.146585417E-1,5.231252414E-1,-2.443934414E-1,2.601442031E0,2.664749297E0
2.246445417E-1,3.975919533E-1,-1.034614231E0,1.469615793E0,1.840727179E0
2.346305416E-1,5.039533907E-1,-1.300423100E0,9.628937459E-1,1.694766540E0
2.446165417E-1,2.807733554E-1,-1.599236285E0,-1.683997925E-1,1.632405851E0
2.546025417E-1,1.434438944E-1,-1.665306314E0,-1.897925509E0,2.529020069E0
2.645885416E-1,5.661338514E-1,-1.738756698E0,-3.176982883E0,3.665651734E0
2.745745417E-1,1.244543599E0,-1.427952043E0,-3.882416707E0,4.319848990E0
2.845605417E-1,1.145500537E0,-1.531914075E0,-3.849265333E0,4.298345707E0
2.945465416E-1,9.866351956E-1,-1.841296103E0,-3.140556192E0,3.771858102E0
3.045325417E-1,1.162087333E0,-2.299669863E0,-2.480153529E0,3.576323528E0
3.145185417E-1,1.674181802E0,-3.101174317E0,-2.272415113E0,4.193332481E0
3.245045416E-1,2.483342893E0,-3.881505126E0,-2.715408650E0,5.348506156E0
3.344905417E-1,3.016654569E0,-4.282135001E0,-4.079689777E0,6.639333824E0
3.444765417E-1,3.159796162E0,-4.624925679E0,-5.634129081E0,7.944662348E0
3.544625416E-1,2.956547531E0,-5.035171300E0,-6.699691163E0,8.887068414E0
3.644485417E-1,2.775507209E0,-5.543746914E0,-7.312427323E0,9.586874541E0
3.744345417E-1,2.865937323E0,-6.147417551E0,-7.789890488E0,1.032892701E1
3.844205416E-1,2.936655303E0,-6.743242394E0,-7.881525713E0,1.078024628E1
3.944065417E-1,2.815817329E0,-7.305905339E0,-7.556976593E0,1.088177262E1
4.043925417E-1,2.099296600E0,-7.657052273E0,-6.999754483E0,1.058461424E1
4.143785416E-1,7.342705375E-1,-8.061435767E0,-6.302230772E0,1.025885045E1
4.243645417E-1,-4.974811077E-1,-8.522605666E0,-6.022264917E0,1.044748628E1
4.343505417E-1,-1.227112464E0,-8.954140706E0,-5.994480118E0,1.084510178E1
4.443365416E-1,-2.262237450E0,-9.239708194E0,-6.372486237E0,1.144982562E1
4.543225417E-1,-3.719509771E0,-9.421258977E0,-6.680676017E0,1.213368475E1
4.643085417E-1,-4.939940037E0,-9.936557136E0,-6.756110362E0,1.299165896E1
4.742945416E-1,-6.086647439E0,-1.085380284E1,-7.162813447E0,1.435821053E1
4.842805417E-1,-7.519635104E0,-1.205915138E1,-7.851811917E0,1.623634794E1
4.942665417E-1,-8.647428517E0,-1.401796746E1,-8.104790533E0,1.835671706E1
5.042535416E-1,-1.037737638E1,-1.632474315E1,-7.419308578E0,2.071794679E1
5.142395417E-1,-1.259670697E1,-1.859811720E1,-5.384909640E0,2.309900954E1
5.242255417E-1,-1.430872844E1,-2.056232558E1,-2.728206158E0,2.519904863E1
5.342115416E-1,-1.605504383E1,-2.175791980E1,-3.612439066E-1,2.704259610E1
5.441975417E-1,-1.860619104E1,-2.125410031E1,3.395336627E0,2.845093031E1
5.541835417E-1,-1.965661994E1,-1.884430019E1,6.580049529E0,2.801405734E1
5.641695416E-1,-1.881727085E1,-1.534694602E1,9.050633213E0,2.591394211E1
5.741555417E-1,-1.844177669E1,-1.026331007E1,1.351163600E1,2.505990759E1
5.841415417E-1,-1.676301067E1,-5.306695529E0,1.779403033E1,2.501573624E1
5.941275416E-1,-1.344211962E1,-2.388315114E0,2.102827382E1,2.507155618E1
6.041135417E-1,-9.613551680E0,-5.629523814E-2,2.264159547E1,2.459807696E1
6.140995417E-1,-7.102305290E0,5.777988274E-1,2.219753218E1,2.331323716E1
6.240855416E-1,-5.474082018E0,-4.267556357E-1,1.955577886E1,2.031197138E1
6.340715417E-1,-5.061418866E0,-4.739299118E-1,1.458021349E1,1.544102315E1
6.440575417E-1,-4.761453487E0,-1.266566990E0,9.935307001E0,1.108990336E1
6.540435416E-1,-5.923182678E0,-2.682896961E0,6.042610888E0,8.876664660E0
6.640295417E-1,-7.425891373E0,-3.584195553E0,3.066857593E0,8.797496004E0
6.740155417E-1,-8.242217642E0,-3.686491714E0,1.587517880E0,9.167583424E0
6.840015416E-1,-7.739962283E0,-3.618654949E0,1.542078583E0,8.682147553E0
6.939875417E-1,-5.619437951E0,-3.234389385E0,3.817975128E0,7.524379819E0
7.039735417E-1,-2.963174765E0,-2.841629278E0,7.851532420E0,8.860125450E0
7.139595416E-1,-4.020128503E-1,-2.215407684E0,1.150762329E1,1.172582787E1
7.239455417E-1,1.851600358E0,-1.292832245E0,1.372422673E1,1.390878278E1
7.339315417E-1,3.612680264E0,-9.727298590E-1,1.429045355E1,1.477209277E1
7.439172083E-1,4.763569010E0,-1.284263296E0,1.328998326E1,1.417619755E1
7.539032083E-1,5.421613782E0,-1.893118367E0,1.105378931E1,1.245648631E1
7.638892083E-1,5.929099476E0,-2.859279391E0,8.276893385E0,1.057528550E1
7.738752083E-1,6.768452080E0,-3.875283689E0,5.310256484E0,9.435496338E0
7.838612083E-1,7.298665901E0,-4.466948238E0,2.727413861E0,8.981254749E0
7.938472083E-1,7.324202446E0,-4.401003048E0,1.148434669E0,8.621581727E0
8.038332083E-1,7.282194294E0,-3.947371379E0,6.221086621E-1,8.306570516E0
8.138192083E-1,7.005299397E0,-3.315097918E0,8.832967687E-1,7.800276087E0
8.238052083E-1,6.543989750E0,-2.383975164E0,1.467463433E0,7.117625191E0
8.337912083E-1,5.895432962E0,-1.390746502E0,2.117582597E0,6.416732946E0
8.437772083E-1,5.017691048E0,-6.491023332E-1,2.751989708E0,5.759514272E0
8.537632083E-1,4.022787890E0,-3.114382739E-1,2.851890557E0,4.940961035E0
8.637492083E-1,3.160086184E0,-2.266683380E-1,2.084792581E0,3.792609040E0
8.737352083E-1,2.239502452E0,-3.254748805E-1,9.526365602E-1,2.455365868E0
8.837212083E-1,1.113932369E0,-5.186644737E-1,-1.441017061E-1,1.237183681E0
8.937072083E-1,-1.139859874E-1,-6.904293571E-1,-7.964930981E-1,1.060229578E0
9.036932084E-1,-8.392843379E-1,-6.875966734E-1,-1.049855876E0,1.509763142E0
9.136792083E-1,-9.559922042E-1,-6.622232658E-1,-1.125535219E0,1.618422157E0
9.236652083E-1,-6.957846757E-1,-4.236455382E-1,-9.535504800E-1,1.254133316E0
9.336512084E-1,-9.426069774E-2,-7.440136068E-2,-6.531755036E-1,6.641226394E-1
9.436372083E-1,5.646931706E-1,1.215362046E-1,-3.622151291E-1,6.817985228E-1
9.536232083E-1,8.935496420E-1,1.897531845E-1,-1.995409119E-1,9.350154059E-1
9.636092084E-1,7.667195146E-1,2.823459640E-1,-2.391534591E-1,8.513356767E-1
9.735962083E-1,4.095510807E-1,1.682610856E-1,-4.524037528E-1,6.330189857E-1
9.835822083E-1,-3.155475508E-1,-1.002699544E-1,-5.712946039E-1,6.603043579E-1
9.935682083E-1,-1.327597158E0,-2.663348258E-1,-4.653734618E-1,1.431789409E0
1.003554208E0,-2.018730008E0,-2.502942321E-1,-1.686781383E-1,2.041168871E0
1.013540208E0,-2.402963851E0,-1.371799915E-1,4.292604733E-1,2.444855450E0
1.023526208E0,-2.345685842E0,1.273025825E-1,1.320648034E0,2.694913588E0
1.033512208E0,-1.998518668E0,5.635633423E-1,2.185760547E0,3.014834934E0
1.043498208E0,-1.596232717E0,6.769822960E-1,2.696228905E0,3.205606686E0
1.053484208E0,-1.272201806E0,6.558020729E-1,3.086533474E0,3.402243771E0
1.063470208E0,-1.495202770E0,8.547418910E-1,3.429085001E0,3.837295789E0
1.073456208E0,-2.292568712E0,9.424458866E-1,3.686842546E0,4.442621243E0
1.083442208E0,-3.038618173E0,1.087592929E0,4.059825323E0,5.186351360E0
1.093428208E0,-4.005648531E0,1.272700574E0,4.746742185E0,6.340074785E0
1.103414208E0,-4.834956204E0,1.672235410E0,5.793002023E0,7.728650930E0
1.113400208E0,-5.025369612E0,2.026201288E0,6.913117458E0,8.783565585E0
1.123386208E0,-4.926033019E0,1.992326321E0,7.792555064E0,9.431812122E0
1.133372208E0,-4.061957803E0,1.905555979E0,8.380311919E0,9.505802051E0
1.143358208E0,-2.564231520E0,1.485935664E0,8.412458741E0,8.919234842E0
1.153344208E0,-9.695002225E-1,7.642842954E-1,8.256279611E0,8.348066494E0
1.163330208E0,7.723230475E-1,2.618362704E-1,8.076078365E0,8.117147459E0
1.173316208E0,2.248658169E0,-4.736592588E-1,7.427851945E0,7.775204252E0
1.183302208E0,2.517018178E0,-1.780616038E0,6.048448749E0,6.788939994E0
1.193288208E0,1.869624985E0,-3.158543104E0,4.679278765E0,5.947061618E0
1.203274208E0,1.109108636E0,-4.772809072E0,3.058251661E0,5.776048098E0
1.213260208E0,1.513908452E-1,-6.633695979E0,1.303558962E0,6.762256095E0
1.223246208E0,-3.916856807E-1,-7.466705523E0,-1.554967600E-1,7.478588656E0
1.233232208E0,5.001433450E-1,-7.539593405E0,-1.237413504E0,7.656814237E0
1.243218208E0,2.275796558E0,-7.799943606E0,-2.252597730E0,8.431640811E0
1.253204208E0,3.936192380E0,-7.994990932E0,-3.206083891E0,9.470610560E0
1.263190208E0,4.078844562E0,-8.626896604E0,-4.706621515E0,1.064014117E1
1.273176208E0,3.241173032E0,-9.394907915E0,-6.067970263E0,1.164430163E1
1.283162208E0,1.857077445E0,-9.232953490E0,-6.923390431E0,1.168886230E1
1.293148208E0,1.164592280E0,-8.111013139E0,-7.563650020E0,1.115139502E1
1.303134208E0,1.365178090E0,-7.393588430E0,-7.031434697E0,1.029416995E1
1.313120208E0,2.172704884E0,-6.817888534E0,-6.024056504E0,9.353796413E0
1.323106208E0,2.749426873E0,-6.671953141E0,-4.715653124E0,8.620422915E0
1.333092208E0,2.755636616E0,-6.399555922E0,-3.369626420E0,7.739653181E0
1.343078208E0,2.693102984E0,-6.068412897E0,-2.101015535E0,6.963670372E0
1.353064208E0,2.307001979E0,-5.591480659E0,-8.476115039E-1,6.107811339E0
1.363050208E0,1.318291022E0,-4.935577430E0,-5.098991320E-1,5.133986064E0
1.373036208E0,2.228894287E-1,-4.728243641E0,-1.026455027E0,4.843508805E0
1.383022208E0,-1.679343724E-1,-5.113074338E0,-2.118080780E0,5.536966438E0
1.393008208E0,-4.522107947E-1,-5.863727605E0,-3.487357475E0,6.837357544E0
1.402994208E0,-1.027502555E0,-6.440551336E0,-4.832170590E0,8.117039831E0
1.412980208E0,-2.084600208E0,-6.631442462E0,-5.912220903E0,9.125565361E0
1.422966208E0,-3.292684663E0,-6.927708015E0,-6.308046412E0,9.931080514E0
1.432952208E0,-4.097266214E0,-7.189564458E0,-6.070104496E0,1.026272849E1
1.442938208E0,-5.317260863E0,-7.077525374E0,-4.794910670E0,1.006756161E1
1.452924208E0,-6.252064000E0,-7.104175814E0,-2.542886844E0,9.799178117E0
1.462910208E0,-6.342343841E0,-7.365635816E0,-6.287019825E-1,9.740286574E0
1.472897208E0,-6.564876004E0,-7.401480417E0,7.377516773E-1,9.920876315E0
1.482883208E0,-7.062886870E0,-7.992004175E0,1.219825079E0,1.073519794E1
1.492869208E0,-8.207781050E0,-9.264614409E0,2.345131087E-1,1.237965049E1
1.502855208E0,-9.900706687E0,-1.057313532E1,-8.519394667E-1,1.451003047E1
1.512841208E0,-1.221189469E1,-1.228621748E1,-9.014523733E-1,1.734630013E1
1.522827208E0,-1.468393374E1,-1.407158759E1,1.046954488E0,2.036476372E1
1.532813208E0,-1.633715796E1,-1.520876813E1,4.697394608E0,2.280953472E1
1.542799208E0,-1.751573794E1,-1.513590363E1,8.855294695E0,2.478533636E1
1.552785208E0,-1.812127677E1,-1.429342277E1,1.238254217E1,2.619179178E1
1.562771208E0,-1.869372386E1,-1.318147414E1,1.597959604E1,2.790258163E1
1.572757208E0,-1.899609156E1,-8.786927880E0,2.241812658E1,3.066975702E1
1.582743208E0,-1.730697948E1,-3.816639917E0,2.510844921E1,3.073324748E1
1.592729208E0,-1.453363106E1,-2.162286315E0,2.557079323E1,2.949181887E1
1.602715208E0,-1.158176248E1,-2.253238585E0,2.366141536E1,2.644006209E1
1.612701208E0,-8.391930336E0,-1.564988558E0,1.967883468E1,2.145064611E1
1.622687208E0,-5.521388331E0,-1.697275673E0,1.649228225E1,1.747460579E1
1.632673208E0,-4.805920100E0,-2.213562888E0,1.307530508E1,1.410532990E1
1.642659208E0,-5.614022845E0,-3.404378469E0,1.055106442E1,1.242706746E1
