"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.557541656E-3,1.181615572E-1,4.172479534E-1,2.731759950E-1,5.125262261E-1
1.754354167E-2,1.190804471E-1,4.595788711E-1,-5.294244468E-2,4.776984343E-1
2.752854163E-2,2.117965297E-1,4.123205048E-1,-4.227251865E-2,4.654599172E-1
3.751454165E-2,2.030262910E-1,4.731175143E-1,3.325951081E-2,5.159128339E-1
4.749954166E-2,1.217017539E-1,6.489041126E-1,2.401398844E-1,7.025347168E-1
5.748454167E-2,5.579325467E-2,8.341263628E-1,5.014034931E-1,9.748256969E-1
6.747054163E-2,6.945907474E-3,9.472658926E-1,7.769101882E-1,1.225132792E0
7.745554164E-2,-5.567704126E-2,9.577329934E-1,9.945160729E-1,1.381815704E0
8.744154166E-2,-2.929162681E-3,1.052469581E0,1.001042808E0,1.452510758E0
9.742654167E-2,-8.467557639E-2,1.127621505E0,1.073828875E0,1.559425749E0
1.074125416E-1,-1.996493778E-1,9.557081026E-1,1.124416646E0,1.489144266E0
1.173975416E-1,-1.276840402E-1,8.598675603E-1,1.038090109E0,1.353996495E0
1.273825417E-1,1.592433634E-1,1.012228459E0,9.054887062E-1,1.367433617E0
1.373685417E-1,6.281235467E-1,1.154283639E0,9.344745237E-1,1.612498851E0
1.473535416E-1,9.434269032E-1,1.248005151E0,1.092155219E0,1.907976467E0
1.573395416E-1,1.129939195E0,1.444341788E0,1.237031096E0,2.212042432E0
1.673245417E-1,1.374141140E0,1.645895312E0,1.310597255E0,2.512946561E0
1.773095417E-1,1.683143684E0,1.835350361E0,1.487480206E0,2.900703531E0
1.872955416E-1,1.837204952E0,1.979709930E0,1.874855905E0,3.287804451E0
1.972805416E-1,1.953417048E0,1.999328508E0,2.327504071E0,3.637365509E0
2.072665417E-1,2.044480999E0,1.992673207E0,2.565091646E0,3.838013056E0
2.172515417E-1,2.175653635E0,1.947770684E0,2.615719178E0,3.920365569E0
2.272375416E-1,2.240336996E0,1.703610254E0,2.676246046E0,3.883772734E0
2.372225416E-1,2.222410748E0,1.472206694E0,2.511579098E0,3.662585378E0
2.472075417E-1,2.035819373E0,1.233329809E0,2.295145433E0,3.306562489E0
2.571935417E-1,1.534137041E0,1.033121729E0,2.293796188E0,2.946594292E0
2.671785416E-1,1.134209709E0,8.429375321E-1,2.417162937E0,2.799937858E0
2.771645417E-1,9.338035557E-1,4.724135095E-1,2.577364951E0,2.781721355E0
2.871495417E-1,6.232287694E-1,3.742218018E-4,2.509869372E0,2.586089423E0
2.971355417E-1,6.521063402E-2,-4.613932621E-1,2.330777635E0,2.376901460E0
3.071205416E-1,-7.218452773E-1,-9.430383557E-1,2.169588026E0,2.473356858E0
3.171055416E-1,-1.544010210E0,-1.386435642E0,1.715442387E0,2.692380713E0
