"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.840208323E-3,-1.005785485E0,3.419977963E-1,-3.709912151E-1,1.125256156E0
1.582520833E-2,-1.993758743E0,4.983131665E-1,-3.123605990E-1,2.078691675E0
2.581120835E-2,-2.328328236E0,5.569613242E-1,4.434540045E-1,2.434742234E0
3.579620837E-2,-2.311423497E0,8.915220469E-1,1.240501419E0,2.770619771E0
4.578220833E-2,-2.301348306E0,1.164762434E0,1.727341763E0,3.104284961E0
5.576720834E-2,-2.163097324E0,1.227837519E0,1.986684489E0,3.183314352E0
6.575320836E-2,-1.773654050E0,1.126058545E0,2.231968753E0,3.065214683E0
7.573820831E-2,-1.337782276E0,1.077437777E0,2.394612565E0,2.946982002E0
8.572320832E-2,-9.350316171E-1,1.086368229E0,2.402664766E0,2.797727298E0
9.570920834E-2,-6.523988472E-1,9.891968608E-1,2.114074268E0,2.423519072E0
1.056942084E-1,-7.498772677E-1,9.007998240E-1,1.788851256E0,2.138631585E0
1.156802083E-1,-1.080332149E0,7.883467573E-1,1.666029614E0,2.136413545E0
1.256647083E-1,-1.257063657E0,6.456021899E-1,1.521344356E0,2.076415150E0
1.356507083E-1,-1.188511485E0,4.841810310E-1,1.134644596E0,1.713011728E0
1.456357084E-1,-1.159357049E0,3.809344053E-1,6.759954321E-1,1.395059000E0
1.556207084E-1,-9.984430629E-1,1.916582805E-1,2.659658664E-1,1.050885002E0
1.656067083E-1,-7.561145657E-1,2.623060942E-3,-2.305294007E-2,7.564704588E-1
1.755917083E-1,-1.046935630E0,-8.306203723E-2,-9.398288190E-2,1.054422258E0
1.855777084E-1,-1.624103324E0,-3.347250295E-1,7.276450574E-2,1.659833463E0
1.955627084E-1,-2.225217266E0,-6.302105641E-1,1.930657053E-1,2.320782541E0
2.055487083E-1,-2.590155443E0,-8.469697720E-1,2.034059215E-1,2.732697748E0
2.155337083E-1,-2.385485061E0,-1.138317817E0,-5.486442447E-3,2.643167897E0
2.255197084E-1,-2.036257914E0,-1.272707883E0,-2.251464540E-1,2.411808983E0
2.355047083E-1,-2.022752161E0,-1.402092732E0,-2.791811585E-1,2.476960325E0
2.454907083E-1,-2.545213159E0,-1.593684939E0,1.406702676E-1,3.006281729E0
2.554757083E-1,-2.896227069E0,-1.788118892E0,6.810866028E-1,3.471221596E0
2.654607084E-1,-2.918537706E0,-1.939112127E0,9.469349402E-1,3.629697503E0
2.754467083E-1,-3.258834547E0,-2.064424390E0,5.258161300E-1,3.893370425E0
2.854317083E-1,-4.604503109E0,-2.604352190E0,-7.774908167E-1,5.346830013E0
2.954177083E-1,-3.908695264E0,-3.027671893E0,2.180493960E-1,4.948963659E0
3.054027084E-1,-3.618882113E0,-2.508614559E0,-1.459137583E-1,4.405762769E0
3.153887083E-1,-3.835323525E0,-2.875288190E0,-1.282171601E-1,4.795146333E0
3.253737083E-1,-3.565622749E0,-3.308223054E0,-1.643243015E-1,4.866724549E0
3.353587083E-1,-2.665466996E0,-3.268935027E0,-6.371903855E-1,4.265754576E0
3.453447084E-1,-1.719263543E0,-3.053983778E0,-1.034948692E0,3.654285545E0
3.553297083E-1,-1.555852869E0,-2.919621779E0,-7.562759489E-1,3.393644471E0
3.653157083E-1,-1.876926111E0,-2.968068300E0,-7.963907719E-2,3.512637676E0
3.753007083E-1,-1.987277104E0,-3.077783700E0,3.963611144E-1,3.684986421E0
3.852867084E-1,-1.748922082E0,-2.957764921E0,2.825555867E-1,3.447744109E0
3.952717083E-1,-1.284880616E0,-2.859717055E0,-8.139236480E-2,3.136163986E0
4.052577083E-1,-5.485173601E-1,-2.790289555E0,-7.594506946E-1,2.943357344E0
4.152427083E-1,4.711508033E-1,-2.594219550E0,-1.546449669E0,3.056708153E0
4.252287084E-1,1.510251603E0,-2.246596148E0,-1.809347209E0,3.256039232E0
4.352137083E-1,2.732409722E0,-1.811589616E0,-1.640624632E0,3.666001774E0
4.451987083E-1,4.055901842E0,-1.218121201E0,-1.299683135E0,4.429823389E0
4.551847083E-1,5.372394260E0,-5.844040614E-1,-1.109194297E0,5.516743621E0
4.651697084E-1,6.874175586E0,-8.484426856E-2,-1.111070961E0,6.963904596E0
4.751557083E-1,8.662040709E0,4.377389359E-1,-1.239395710E0,8.761202335E0
4.851407083E-1,1.046286969E1,9.359930456E-1,-1.243622662E0,1.057801128E1
4.951267084E-1,1.139970474E1,1.124052950E0,-9.505526125E-1,1.149436007E1
5.051117084E-1,1.176380267E1,1.003543589E0,-6.892060465E-1,1.182662919E1
5.150977083E-1,1.226127910E1,1.002132656E0,-8.556692594E-1,1.233188570E1
5.250827083E-1,1.312915676E1,1.157904820E0,-1.136715680E0,1.322904469E1
5.350677083E-1,1.424541713E1,1.203112568E0,-1.375089997E0,1.436211201E1
5.450537084E-1,1.481128493E1,1.199078574E0,-1.631320250E0,1.494901858E1
5.550387083E-1,1.485802991E1,8.395771372E-1,-1.677263577E0,1.497595258E1
5.650247083E-1,1.462597263E1,1.700943339E-1,-1.514531473E0,1.470516281E1
5.750097084E-1,1.413301259E1,-3.963178450E-1,-1.398911846E0,1.420760596E1
5.849957083E-1,1.305983100E1,-1.107420545E0,-1.073271343E0,1.315056947E1
5.949807083E-1,1.162054355E1,-2.043467385E0,-6.285037619E-1,1.181557482E1
6.049667083E-1,1.033327435E1,-2.984280875E0,-2.402082968E-1,1.075826153E1
6.149517084E-1,9.160084319E0,-3.998916047E0,6.833348572E-2,9.995156014E0
6.249367084E-1,8.116942216E0,-4.913251006E0,3.283910331E-1,9.493820467E0
6.349227083E-1,7.042360804E0,-5.795145028E0,5.972556567E-1,9.139762902E0
6.449077083E-1,5.693529190E0,-6.495352610E0,8.176266897E-1,8.676081695E0
6.548937084E-1,4.321772983E0,-7.022584936E0,8.820703152E-1,8.292916793E0
6.648787083E-1,3.375568945E0,-7.506771814E0,7.758872178E-1,8.267290351E0
6.748647083E-1,2.644949993E0,-7.932252063E0,8.155155525E-1,8.401276621E0
6.848497083E-1,1.905505986E0,-8.348315370E0,1.212472790E0,8.648434127E0
6.948347084E-1,1.500218951E0,-8.481540670E0,1.790308090E0,8.797294590E0
7.048207083E-1,1.190434781E0,-8.366025417E0,2.329337173E0,8.765462219E0
7.148057083E-1,6.874144596E-1,-8.484756639E0,2.663527767E0,8.919529922E0
7.247917083E-1,2.599845303E-1,-8.718831791E0,2.836382279E0,9.172278026E0
7.347767084E-1,-2.666443627E-1,-8.968973923E0,2.888188902E0,9.426305086E0
7.447627083E-1,-6.829171468E-1,-9.061969795E0,2.836198677E0,9.519962989E0
7.547477083E-1,-1.195486921E0,-8.857064062E0,2.615618898E0,9.312262615E0
7.647337083E-1,-1.882984704E0,-8.521267238E0,2.363257456E0,9.041162123E0
7.747187084E-1,-2.143468221E0,-7.989409180E0,2.173138162E0,8.552639624E0
7.847047083E-1,-2.214834365E0,-7.400443706E0,2.060992952E0,7.994982818E0
7.946897083E-1,-2.172721841E0,-7.007327211E0,2.291746008E0,7.686055855E0
8.046747083E-1,-2.291052821E0,-6.771593789E0,2.693850843E0,7.639387268E0
8.146607084E-1,-2.921121005E0,-6.430784732E0,2.990662818E0,7.670202363E0
8.246457083E-1,-3.606410587E0,-5.793341746E0,2.933123293E0,7.427800358E0
8.346317083E-1,-4.221847284E0,-5.190168707E0,2.736849220E0,7.228567586E0
8.446167083E-1,-5.169908105E0,-4.710124581E0,2.503007956E0,7.428207874E0
8.546027084E-1,-6.291078962E0,-4.097243995E0,2.024632918E0,7.775874312E0
8.645877083E-1,-7.424292160E0,-3.348273557E0,1.440463623E0,8.270791095E0
8.745737083E-1,-8.669477198E0,-2.425196427E0,9.692116624E-1,9.054324041E0
8.845587083E-1,-9.737734846E0,-1.551671525E0,6.871326238E-1,9.884498758E0
8.945437084E-1,-1.062142864E1,-8.940509677E-1,4.774473774E-1,1.066967804E1
9.045297083E-1,-1.103621258E1,-5.075389034E-1,3.873716050E-1,1.105466601E1
9.145147083E-1,-1.124683630E1,-1.253812605E-1,2.805356660E-1,1.125103318E1
9.245007084E-1,-1.157149477E1,2.942734069E-1,2.584209117E-1,1.157812028E1
9.344857084E-1,-1.193905425E1,6.326921225E-1,4.057634372E-1,1.196269032E1
9.444717083E-1,-1.239044410E1,8.023520082E-1,7.420631218E-1,1.243855021E1
9.544567083E-1,-1.270236732E1,9.188612884E-1,1.188034353E0,1.279085092E1
9.644427084E-1,-1.274634306E1,9.610448563E-1,1.203945796E0,1.283909476E1
9.744277084E-1,-1.272946449E1,8.180038351E-1,8.655919844E-1,1.278505557E1
9.844127083E-1,-1.260301728E1,5.549340945E-1,8.235879260E-1,1.264208422E1
9.943987083E-1,-1.239461433E1,2.232607269E-1,1.262971099E0,1.246079475E1
1.004383708E0,-1.197415158E1,-2.140537012E-1,1.676966831E0,1.209290464E1
1.014369708E0,-1.132512350E1,-8.866700274E-1,1.896016978E0,1.151692175E1
1.024354708E0,-1.059864438E1,-1.403600729E0,1.860693071E0,1.085189091E1
1.034340708E0,-9.809898843E0,-1.796614897E0,1.829734403E0,1.013952013E1
1.044325708E0,-9.219916538E0,-2.379005762E0,1.906505129E0,9.710885191E0
1.054311708E0,-8.818157274E0,-3.035986049E0,2.008969397E0,9.540076888E0
1.064296708E0,-8.336093520E0,-3.762753439E0,2.146420480E0,9.394460575E0
1.074281708E0,-7.775192342E0,-4.546794307E0,2.121892872E0,9.253614633E0
1.084267708E0,-7.260204670E0,-5.198959996E0,1.907389520E0,9.131149527E0
1.094252708E0,-6.678675685E0,-5.709283344E0,1.626084799E0,8.935590466E0
1.104238708E0,-5.888016939E0,-6.351208804E0,1.397636422E0,8.772683986E0
1.114223708E0,-5.210604726E0,-6.874034083E0,1.324813444E0,8.726848048E0
1.124209708E0,-4.176697131E0,-7.361579018E0,1.306279086E0,8.564111723E0
1.134195208E0,-2.683438706E0,-7.870049382E0,1.215125672E0,8.403276205E0
1.144181208E0,-1.569192414E0,-8.192971807E0,1.262116821E0,8.436829424E0
1.154166208E0,-7.979585566E-1,-8.527056566E0,1.674310880E0,8.726439621E0
1.164151208E0,-3.217701577E-1,-8.794634510E0,2.063275412E0,9.039150272E0
1.174137208E0,-2.036356805E-1,-9.070900247E0,2.176979783E0,9.330698782E0
1.184122208E0,-3.515980473E-1,-9.382270913E0,2.074193918E0,9.615243578E0
1.194108208E0,-1.647753776E-1,-9.541310501E0,1.877165993E0,9.725610992E0
1.204093208E0,5.606349836E-1,-9.631445330E0,1.332591265E0,9.739345471E0
1.214079208E0,1.048660267E0,-9.586481996E0,7.274678868E-1,9.671066897E0
1.224064208E0,1.537297168E0,-9.237979172E0,4.719473402E-1,9.376901197E0
1.234050208E0,1.608997627E0,-8.963230203E0,5.584354073E-1,9.123607792E0
1.244035208E0,1.423239187E0,-8.701536312E0,7.786637682E-1,8.851477913E0
1.254020208E0,1.419006095E0,-8.406838982E0,9.616208071E-1,8.579815531E0
1.264006208E0,1.748233865E0,-8.138990897E0,1.350371186E0,8.433445133E0
1.273991208E0,2.432925861E0,-7.551953250E0,1.772984252E0,8.129858503E0
1.283977208E0,3.007703066E0,-6.919614299E0,1.900910805E0,7.780796982E0
1.293962208E0,4.226693748E0,-6.319438543E0,1.414181558E0,7.733055865E0
1.303948208E0,5.464375055E0,-5.628855477E0,6.359969687E-1,7.870698880E0
1.313933208E0,6.108970939E0,-4.911608523E0,7.704186094E-1,7.876355061E0
1.323919208E0,7.177167776E0,-3.754969041E0,1.708754927E0,8.278367785E0
1.333904208E0,8.643168821E0,-2.450559309E0,2.684242698E0,9.376287488E0
1.343890208E0,9.962757339E0,-1.304413240E0,2.982751535E0,1.048116570E1
1.353875208E0,1.087630994E1,-3.814162159E-1,2.490729096E0,1.116437762E1
1.363860208E0,1.142497874E1,3.593710434E-1,1.679630238E0,1.155337373E1
1.373846208E0,1.167407130E1,6.963940287E-1,1.038634484E0,1.174085461E1
1.383831208E0,1.206908931E1,7.564484417E-1,7.331440714E-1,1.211497549E1
1.393817208E0,1.300993437E1,9.896891963E-1,6.078437948E-1,1.306167490E1
1.403802208E0,1.433523036E1,1.516403459E0,4.218228149E-1,1.442138147E1
1.413788208E0,1.549024958E1,1.984681817E0,2.406135088E-1,1.561872878E1
1.423773208E0,1.604648351E1,2.176890321E0,3.777137589E-1,1.619787493E1
1.433759208E0,1.610977728E1,2.188059672E0,9.302268139E-1,1.628428233E1
1.443744208E0,1.574460229E1,1.982651664E0,1.388368439E0,1.592956295E1
1.453729208E0,1.520558607E1,1.483048602E0,1.648830906E0,1.536645451E1
1.463715208E0,1.401751488E1,6.870729822E-1,1.645076117E0,1.413043057E1
1.473700208E0,1.239372204E1,-3.028623819E-2,1.200048627E0,1.245172197E1
1.483686208E0,1.088373474E1,-8.957794046E-1,8.022482201E-1,1.094996369E1
1.493671208E0,9.435572961E0,-1.688336157E0,5.190012002E-1,9.599472815E0
1.503657208E0,8.222082755E0,-2.287510870E0,3.616345006E-1,8.542021442E0
