"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.711000005E-3,-1.422413268E0,2.882987219E-1,-5.410156748E-1,1.548894321E0
1.569699997E-2,-1.636951849E0,3.735107803E-1,-4.271391034E-1,1.732503816E0
2.568199998E-2,-1.811998775E0,2.002519333E-1,-1.752711663E-1,1.831436698E0
3.566800000E-2,-2.029235846E0,1.615468740E-1,-6.094085097E-2,2.036568020E0
4.565300001E-2,-1.897805934E0,3.129494137E-1,-6.781308353E-3,1.923447604E0
5.563800002E-2,-1.561651114E0,5.266037500E-1,1.431965572E-1,1.654258433E0
6.562399998E-2,-1.223007280E0,8.228236949E-1,4.268394336E-1,1.534593608E0
7.560899999E-2,-5.806216073E-1,1.010759638E0,7.991769701E-1,1.413308291E0
8.559500001E-2,-9.427540714E-2,1.097359241E0,1.076033568E0,1.539783555E0
9.557999996E-2,-9.451174429E-2,1.119510248E0,1.243406023E0,1.675796588E0
1.055650000E-1,-1.478915424E-1,1.089478948E0,1.256355852E0,1.669510800E0
1.155510000E-1,-3.884203032E-2,1.157989020E0,1.186851169E0,1.658632862E0
1.255360000E-1,-1.766703319E-1,1.153475554E0,1.049751211E0,1.569616470E0
1.355220000E-1,-7.602744211E-1,1.206793975E0,1.020646987E0,1.753878321E0
1.455070000E-1,-1.343585930E0,1.178893985E0,1.088235538E0,2.092670726E0
1.554920000E-1,-1.872795053E0,1.065967879E0,1.166499057E0,2.450381375E0
1.654780000E-1,-2.517595298E0,7.685235268E-1,1.077539518E0,2.844293569E0
1.754630000E-1,-3.371717384E0,3.956945318E-1,7.967293257E-1,3.487094765E0
1.854490000E-1,-4.123719895E0,6.340545237E-2,5.911067247E-1,4.166352504E0
1.954340000E-1,-4.033046537E0,-2.994312358E-1,4.297332206E-1,4.066914565E0
2.054190000E-1,-3.480729949E0,-2.354463243E-1,2.933562711E-1,3.500996123E0
2.154050000E-1,-3.212038695E0,6.881412685E-2,5.459095019E-1,3.258825731E0
2.253900000E-1,-3.545242864E0,-1.054229593E-1,5.641896522E-1,3.591402362E0
2.353760000E-1,-4.627772981E0,-1.065245748E0,-8.359156108E-1,4.821803208E0
2.453610000E-1,-2.594867714E0,-1.660273615E0,1.040053019E0,3.251393119E0
2.553460000E-1,-2.819875297E0,-7.845612699E-1,4.704026520E-1,2.964542415E0
2.653320000E-1,-3.218554832E0,-1.559708523E0,7.961077666E-1,3.664092447E0
2.753170000E-1,-3.812148963E0,-2.361458268E0,8.608884841E-1,4.566190299E0
2.853020000E-1,-4.018323248E0,-2.625821412E0,4.507804196E-1,4.821313390E0
2.952880000E-1,-3.782421134E0,-2.781767823E0,-4.297286890E-1,4.714828586E0
3.052730000E-1,-3.630687642E0,-3.002791990E0,-1.182003242E0,4.857549192E0
3.152590000E-1,-3.515917908E0,-3.324690567E0,-1.488028383E0,5.062556130E0
3.252440000E-1,-3.307946773E0,-3.480590785E0,-1.347029502E0,4.987134703E0
3.352290000E-1,-2.967579765E0,-3.514348515E0,-6.805077285E-1,4.649759770E0
3.452150000E-1,-2.818590371E0,-3.547176538E0,-2.724948674E-3,4.530664466E0
3.552000000E-1,-2.814312548E0,-3.500637379E0,4.280872294E-1,4.511992449E0
3.651860000E-1,-2.633411975E0,-3.497883341E0,6.716268311E-1,4.429574370E0
3.751710000E-1,-2.366950850E0,-3.573366802E0,6.649520883E-1,4.337460997E0
3.851560000E-1,-1.993473106E0,-3.627849403E0,5.390773228E-1,4.174425790E0
3.951420000E-1,-1.295425485E0,-3.658275974E0,3.788720924E-1,3.899314601E0
4.051270000E-1,-6.677730775E-1,-3.680788924E0,2.944855146E-1,3.752445830E0
4.151130000E-1,-1.452126771E-1,-3.570609255E0,1.289457232E-1,3.575886488E0
4.250980000E-1,8.282048875E-1,-3.178251144E0,-3.790869775E-1,3.306192766E0
4.350830000E-1,1.850634983E0,-2.712060242E0,-8.710103068E-1,3.396877912E0
4.450690000E-1,2.877106090E0,-2.240574101E0,-8.081886989E-1,3.735114553E0
4.550540000E-1,3.851231167E0,-1.917444100E0,-3.979980424E-1,4.320529577E0
4.650400000E-1,4.315493658E0,-1.680327226E0,3.249765515E-2,4.631202997E0
4.750250000E-1,4.637565313E0,-1.341687486E0,8.217209101E-2,4.828445878E0
4.850100000E-1,5.303235732E0,-7.954657423E-1,-3.468559554E-1,5.373768140E0
4.949960000E-1,6.464053050E0,-4.453520107E-1,-8.129144186E-1,6.530172287E0
5.049810000E-1,8.175540673E0,-3.567473978E-1,-1.247798159E0,8.277906392E0
5.149670000E-1,9.672359467E0,-2.307340533E-1,-1.391104059E0,9.774607223E0
