"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.169000043E-3,-2.377005137E0,8.186008358E-1,8.526427406E-1,2.654667661E0
1.215400000E-2,-3.184257112E0,1.011336173E0,1.126408208E0,3.525775044E0
2.214000002E-2,-3.531915013E0,1.128573432E0,1.058492213E0,3.855970360E0
3.212500003E-2,-3.720562854E0,1.217397900E0,8.467002153E-1,4.005189990E0
4.211100005E-2,-3.602263157E0,1.242105895E0,9.053150439E-1,3.916468081E0
5.209600000E-2,-3.369330550E0,1.459708271E0,1.356951057E0,3.914645931E0
6.208200002E-2,-3.440908948E0,1.592200330E0,1.941141111E0,4.259458310E0
7.206700003E-2,-3.745378438E0,1.452623200E0,2.393844241E0,4.676372959E0
8.205300005E-2,-4.194436121E0,1.165126131E0,2.626551729E0,5.084248938E0
9.203900001E-2,-4.701520111E0,8.065444618E-1,2.800123987E0,5.531319885E0
1.020240000E-1,-5.021815674E0,4.964964366E-1,3.078905196E0,5.911412571E0
1.120100000E-1,-4.951695864E0,1.506821626E-1,3.204554259E0,5.900098732E0
1.219950000E-1,-4.864871436E0,-3.269698673E-1,2.894501556E0,5.670275359E0
1.319810000E-1,-4.651406550E0,-7.975087595E-1,2.221791090E0,5.216124879E0
1.419660000E-1,-4.076761199E0,-1.145136255E0,1.421393806E0,4.466730265E0
1.519520000E-1,-3.278175382E0,-1.421172781E0,6.705785716E-1,3.635359890E0
1.619370000E-1,-2.827809676E0,-1.412128893E0,3.226633930E-1,3.177220049E0
1.719230000E-1,-2.628730987E0,-1.509786749E0,4.335271865E-1,3.062291373E0
1.819080000E-1,-2.570670474E0,-1.767995115E0,6.483614910E-1,3.186616707E0
1.918940000E-1,-2.709040155E0,-2.078060682E0,7.909283030E-1,3.504682916E0
2.018790000E-1,-2.575542959E0,-2.461212351E0,8.536215645E-1,3.663285076E0
2.118650000E-1,-2.319087735E0,-2.743989547E0,6.569107050E-1,3.652283975E0
2.218500000E-1,-2.176806706E0,-3.086567388E0,3.519906878E-1,3.793320856E0
2.318360000E-1,-1.756272325E0,-3.560393000E0,-5.709396780E-2,3.970409363E0
2.418210000E-1,-1.362011676E0,-3.727531566E0,-6.002324742E-1,4.013707314E0
2.518070000E-1,-8.748916885E-1,-3.779467705E0,-1.109715577E0,4.035006848E0
2.617920000E-1,-5.321042258E-1,-3.625166116E0,-1.372998741E0,3.912810986E0
2.717780000E-1,-6.415983090E-1,-3.405016692E0,-1.322905059E0,3.708889977E0
2.817630000E-1,-8.358624011E-1,-3.447807201E0,-1.101542339E0,3.714759208E0
2.917490000E-1,-9.061482722E-1,-3.593288265E0,-8.765724707E-1,3.808044714E0
3.017340000E-1,-7.080144927E-1,-3.747928993E0,-7.615442902E-1,3.889499449E0
3.117200000E-1,-4.580036312E-1,-3.759504141E0,-8.685875130E-1,3.885625173E0
3.217050000E-1,-1.110737085E-2,-3.730285605E0,-1.155157213E0,3.905066229E0
3.316910000E-1,4.145719752E-1,-3.851077386E0,-1.379255261E0,4.111570506E0
3.416760000E-1,7.755518800E-1,-3.884900604E0,-1.630017782E0,4.283794042E0
3.516620000E-1,1.362125551E0,-3.730981423E0,-1.780478336E0,4.352667171E0
3.616470000E-1,2.169658777E0,-3.443536980E0,-1.741278602E0,4.426897029E0
3.716330000E-1,2.808596895E0,-3.241120992E0,-1.441244518E0,4.524407979E0
3.816180000E-1,3.390471743E0,-3.148453733E0,-9.833706951E-1,4.730230172E0
3.916040000E-1,4.032075022E0,-2.779978575E0,-5.858921778E-1,4.932461810E0
4.015890000E-1,4.581849242E0,-2.006857383E0,-3.934041774E-1,5.017527865E0
4.115750000E-1,5.211895791E0,-1.226941726E0,-4.227981305E-1,5.371033606E0
4.215600000E-1,6.043133630E0,-5.292139471E-1,-2.706828153E-1,6.072297807E0
4.315460000E-1,7.666189132E0,2.124006933E-1,-9.583644927E-2,7.669729754E0
4.415310000E-1,9.609953889E0,8.898573446E-1,2.715096116E-2,9.651103409E0
4.515179167E-1,1.126470539E1,1.362163850E0,3.137686086E-1,1.135110253E1
4.615029167E-1,1.271102588E1,1.563648376E0,8.792002094E-1,1.283698439E1
4.714889167E-1,1.373774900E1,2.034473197E0,1.385359755E0,1.395650567E1
4.814739167E-1,1.412383948E1,2.364779486E0,1.812875419E0,1.443473384E1
4.914599167E-1,1.411010437E1,2.259661751E0,1.951641541E0,1.442255252E1
5.014449167E-1,1.378209078E1,1.865359442E0,1.888817301E0,1.403542742E1
5.114309167E-1,1.323086440E1,1.316764898E0,1.899146993E0,1.343117277E1
5.214159167E-1,1.272648592E1,6.468651885E-1,1.847439187E0,1.287613723E1
5.314019167E-1,1.206412268E1,-8.940977454E-2,1.801977963E0,1.219828573E1
5.413869167E-1,1.132777112E1,-8.575000226E-1,1.903173385E0,1.151849703E1
5.513729167E-1,1.064902867E1,-1.703823093E0,2.034737492E0,1.097474288E1
5.613579167E-1,9.966657432E0,-2.557018395E0,2.068015750E0,1.049520331E1
5.713439167E-1,8.912992680E0,-3.511831289E0,2.264281052E0,9.843849156E0
5.813289167E-1,7.900839651E0,-4.593515899E0,2.621991486E0,9.507812306E0
5.913149167E-1,7.057666476E0,-5.463551767E0,2.828393228E0,9.362737967E0
6.012999167E-1,6.339726627E0,-6.188636913E0,2.669246052E0,9.252904140E0
6.112859167E-1,5.583710879E0,-6.932431980E0,2.543469519E0,9.257736091E0
6.212709167E-1,4.687043867E0,-7.670326037E0,2.476927913E0,9.324025612E0
6.312569167E-1,3.823749254E0,-8.210188349E0,2.234870726E0,9.328606447E0
6.412419167E-1,3.189840910E0,-8.551237142E0,1.877413769E0,9.317908787E0
6.512279167E-1,2.790677810E0,-9.039776688E0,1.808022230E0,9.631946303E0
6.612129167E-1,2.364162020E0,-9.497917728E0,1.919972728E0,9.974266816E0
6.711989167E-1,2.043213323E0,-9.615062601E0,1.973748109E0,1.002595786E1
6.811839167E-1,1.779801374E0,-9.565654213E0,2.177676479E0,9.970542027E0
6.911699167E-1,1.446996132E0,-9.738282731E0,2.439063391E0,1.014282892E1
7.011549167E-1,8.773773399E-1,-9.939664346E0,2.512256205E0,1.028971086E1
7.111409167E-1,2.518299302E-1,-9.809284301E0,2.434711893E0,1.011005929E1
7.211259167E-1,-2.343107951E-1,-9.726772487E0,2.194366771E0,9.973978649E0
7.311119167E-1,-9.315411218E-1,-9.587865447E0,1.956483327E0,9.829687670E0
7.410969167E-1,-1.829136233E0,-9.251625988E0,1.962635475E0,9.632770152E0
7.510829167E-1,-2.680339097E0,-8.815039539E0,2.128137406E0,9.456114877E0
7.610679167E-1,-3.510005788E0,-8.376811776E0,2.193210777E0,9.343515916E0
7.710539167E-1,-4.343307694E0,-7.712436515E0,1.961312835E0,9.066021551E0
7.810389167E-1,-5.388265357E0,-6.869354557E0,1.457568775E0,8.851324326E0
7.910249167E-1,-6.440801597E0,-6.082283077E0,8.914983657E-1,8.903530871E0
8.010099167E-1,-7.517599688E0,-5.249258915E0,4.630790144E-1,9.180602725E0
8.109959167E-1,-8.770922881E0,-4.453403748E0,2.037076378E-1,9.838871375E0
8.209809167E-1,-1.005935217E1,-3.651307263E0,-7.092964947E-3,1.070152611E1
8.309669167E-1,-1.151358160E1,-2.827810553E0,-1.170866928E-1,1.185633937E1
8.409519167E-1,-1.278159593E1,-2.027829006E0,-3.271596095E-1,1.294559069E1
8.509379167E-1,-1.385147384E1,-1.216306810E0,-7.549787441E-1,1.392525485E1
8.609229167E-1,-1.453900349E1,-6.226951379E-1,-1.150889038E0,1.459777097E1
8.709089167E-1,-1.472361997E1,-2.094344008E-1,-1.554814695E0,1.480696783E1
8.808939167E-1,-1.463419850E1,1.348408860E-1,-1.766276911E0,1.474102038E1
8.908799167E-1,-1.429162650E1,3.793574113E-1,-1.603726362E0,1.438632818E1
9.008649167E-1,-1.383452393E1,4.349784654E-1,-1.012547132E0,1.387834681E1
9.108509167E-1,-1.333760883E1,3.938035423E-1,-2.253069600E-1,1.334532329E1
9.208359167E-1,-1.273978833E1,3.083008772E-1,5.667261744E-1,1.275611362E1
9.308219167E-1,-1.210718392E1,8.419639707E-2,1.343751260E0,1.218181673E1
9.408069167E-1,-1.154973961E1,-2.113441014E-1,2.186862455E0,1.175684987E1
9.507929167E-1,-1.079718542E1,-6.256292707E-1,2.943368784E0,1.120865936E1
9.607779167E-1,-9.967870145E0,-1.106827637E0,3.357386151E0,1.057617816E1
9.707639167E-1,-9.299332836E0,-1.598717637E0,3.412452012E0,1.003385858E1
9.807489167E-1,-8.754654758E0,-2.222355931E0,3.130855953E0,9.559555681E0
9.907349167E-1,-8.333659909E0,-2.839868681E0,2.448362803E0,9.138338034E0
1.000719917E0,-7.887688678E0,-3.633749828E0,1.548799957E0,8.821482404E0
1.010705917E0,-7.463891843E0,-4.342841671E0,6.919402045E-1,8.663067382E0
1.020690917E0,-7.121881768E0,-4.885448665E0,1.012065321E-1,8.637074234E0
1.030676917E0,-6.833452068E0,-5.402239618E0,-2.425565386E-1,8.714303973E0
1.040661917E0,-6.399979845E0,-6.010164689E0,-4.642288694E-1,8.791890016E0
1.050647917E0,-5.921113933E0,-6.644736106E0,-4.741796610E-1,8.912741132E0
1.060632917E0,-5.491850536E0,-7.229790963E0,-2.536946073E-1,9.082657135E0
1.070618917E0,-4.829414797E0,-7.816872464E0,4.058055371E-2,9.188492215E0
1.080603917E0,-3.939700125E0,-8.157527155E0,3.761622003E-1,9.066861881E0
1.090589917E0,-3.123099037E0,-8.440344697E0,8.932060450E-1,9.043836754E0
1.100574917E0,-2.495055743E0,-8.705411847E0,1.592106775E0,9.194797581E0
1.110560917E0,-2.034771405E0,-8.864110542E0,2.127078475E0,9.340086360E0
1.120545917E0,-1.550127275E0,-8.974514160E0,2.294771942E0,9.392059265E0
1.130531917E0,-8.675841308E-1,-9.054139788E0,2.077368371E0,9.329823625E0
1.140516917E0,-2.494518676E-1,-9.131162236E0,1.935655545E0,9.337403944E0
1.150502917E0,4.056216422E-1,-9.248105380E0,2.238064476E0,9.523702779E0
1.160487917E0,1.303754990E0,-9.062079722E0,2.944793458E0,9.617321585E0
1.170473917E0,2.524244167E0,-8.615852383E0,3.701743006E0,9.711211160E0
1.180458917E0,3.774600190E0,-7.863688781E0,4.345858249E0,9.745342055E0
1.190444917E0,4.714501222E0,-7.119702510E0,4.411979733E0,9.611568591E0
1.200429917E0,5.161636049E0,-6.652732174E0,3.847271433E0,9.257582274E0
1.210415917E0,5.131970201E0,-6.424237604E0,3.084141670E0,8.781792344E0
1.220400917E0,5.425424412E0,-6.176432605E0,2.190275182E0,8.507693880E0
1.230386917E0,6.148285278E0,-5.635399096E0,1.182632987E0,8.423642657E0
1.240371917E0,7.021144767E0,-4.856031323E0,2.833835524E-1,8.541535008E0
1.250357917E0,7.783967258E0,-3.888964419E0,1.371522903E-2,8.701400959E0
1.260342917E0,8.123644295E0,-2.919247558E0,3.037809795E-1,8.637585647E0
